otm_xid,display_name_en,query_area,besttime_query_name,besttime_query_address,besttime_found,besttime_status,besttime_venue_name,besttime_venue_address,besttime_venue_id,besttime_has_analysis,besttime_num_days,besttime_any_busy_hours,besttime_any_day_info,besttime_notes,review_correct_place,review_would_use
R1555271,Hagia Sophia,Hagia Sophia / Basilica Cistern,Hagia Sophia,"Bab-I Hümayun Caddesi, Fatih, Cankurtaran Mahallesi, Marmara Bölgesi, Istanbul, Turkey",True,OK,Hagia Sophia Grand Mosque,Sultan Ahmet Ayasofya Meydanı No:1 34122 Fatih/İstanbul Türkiye,ven_4d69627639324e45396b72525168793536726b4277784a4a496843,True,7,True,True,,,
R1564032,Süleymaniye Mosque,Suleymaniye,Süleymaniye Mosque,"Prof. Sıddık Sami Onar Caddesi, Fatih, Süleymaniye Mahallesi, Marmara Bölgesi, Istanbul, Turkey",True,OK,Suleymaniye Mosque,Süleymaniye Prof. Dr. Sıddık Sami Onar Cd. No:1 34116 Fatih/İstanbul Türkiye,ven_6f497a31545149583963375251687935326f4f4144524d4a496843,True,7,True,True,,,
N7215645385,The Blue Mosque,Sultanahmet Core,The Blue Mosque,"Atmeydanı Caddesi, Sultan Ahmet Mahallesi, Fatih, Marmara Bölgesi, Istanbul, Turkey",True,Error,The Blue Mosque,,,False,0,False,False,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.",,
W24826707,Dolmabahçe Palace,Dolmabahce,Dolmabahçe Palace,"Istanbul, Turkey",True,Error,Dolmabahçe Palace,,,False,0,False,False,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.",,
W600269984,Eyüp Sultan Mosque,Eyup / Pierre Loti,Eyüp Sultan Mosque,"Istanbul, Turkey",True,OK,Eyüp Sultan Mosque,Merkez Camii Kebir Sk. Eyüp Sultan Cami No:23 34050 Eyüpsultan/İstanbul Türkiye,ven_73776f6a32665f372d5658525168797843644974535f464a496843,True,7,True,True,,,
R1661399,Fatih Mosque,Fatih / Valens Aqueduct,Fatih Mosque,"Istanbul, Turkey",True,Error,Fatih Mosque,,,False,0,False,False,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.",,
W23236783,Galata Tower,Galata Tower,Galata Tower,"Galata, Beyoğlu, Bereketzade Mahallesi, Marmara Bölgesi, Istanbul, Turkey",True,OK,Galata Tower,Bereketzade 34421 Beyoğlu/İstanbul Türkiye,ven_776b645033447a4c4f7a435251687935652d70337833514a496843,True,7,True,True,,,
W333931123,Mihrimah Sultan Mosque,Uskudar Waterfront,Mihrimah Sultan Mosque,"Istanbul, Turkey",True,Error,Mihrimah Sultan Mosque,,,False,0,False,False,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.",,
R7318154,Rumeli Fortress,Rumeli Hisari,Rumeli Fortress,"Yahya Kemal Caddesi, Rumeli Hisarı Mahallesi, Sarıyer, Marmara Bölgesi, Istanbul, Turkey",True,Error,Rumeli Fortress,,,False,0,False,False,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.",,
N4591192493,Spice Bazaar,Eminonu / Spice Bazaar,Spice Bazaar,"Istanbul, Turkey",True,Error,Spice Bazaar,,,False,0,False,False,"Error: Venue found, but could not forecast this venue. Potential issues: This place is too new, or not does not have enough volume (visitors) to make a forecast.",,
W335415778,Topkapı Palace,Topkapi Palace,Topkapı Palace,"Istanbul, Turkey",True,OK,Topkapi Palace Museum,Cankurtaran Babı Hümayun Cad No: 1 34122 Fatih/İstanbul Türkiye,ven_5568715a4d3077424d464152516879356937726c695f4d4a496843,True,7,True,True,,,
