poi_id,canonical_poi_id,canonical_name,family_name,category_clean,cluster_id,importance_score,member_role,group_method,canonical_seed_name
13615790287,cp_13615790287,Lausos Sarayı'nın Kalıntıları,Lausos Sarayı'nın Kalıntıları,historic,12,0.8630041366163068,primary,single_seed,Lausos Sarayı'nın Kalıntıları
1075801479,cp_1075801479,Antiochos Sarayı'nın Kalıntıları,Antiochos Sarayı'nın Kalıntıları,historic,12,0.8592239579009757,primary,single_seed,Antiochos Sarayı'nın Kalıntıları
8120955,cp_8120955,Ibrahim Pasha Palace,Ibrahim Pasha Palace,historic,12,0.8589147224356382,primary,single_seed,Ibrahim Pasha Palace
311681431,cp_311681431,Sağlık Müzesi,Sağlık Müzesi,museum,12,0.8493101502132174,primary,single_seed,Sağlık Müzesi
1153966162,cp_1153966162,Great Palace Mosaic Museum,Great Palace Mosaic Museum,museum,12,0.8442127747511758,primary,single_seed,Great Palace Mosaic Museum
103953125,cp_103953125,Tomb of Sultan Ahmed I,Tomb of Sultan Ahmed I,attraction,12,0.8358979261397337,primary,single_seed,Tomb of Sultan Ahmed I
11867279469,cp_11867279469,Hagia Sophia History and Experience Museum,Hagia Sophia History and Experience Museum,museum,12,0.8343905890613934,primary,single_seed,Hagia Sophia History and Experience Museum
5113500256,cp_5113500256,Turkish and Islamic Arts Museum,Turkish and Islamic Arts Museum,museum,12,0.8342378630190977,primary,single_seed,Turkish and Islamic Arts Museum
3373094254,cp_3373094254,Carpet Museum,Carpet Museum,museum,12,0.827179907345949,primary,single_seed,Carpet Museum
527580309,cp_527580309,Turbe of Keçecizâde Fuad Pasha,Turbe of Keçecizâde Fuad Pasha,historic,12,0.8210574583077491,primary,single_seed,Turbe of Keçecizâde Fuad Pasha
1652694014,cp_1652694014,Magnaura Sarayı,Magnaura Sarayı,historic,12,0.8186124245073092,primary,single_seed,Magnaura Sarayı
10284696709,cp_10284696709,Topkapi Palace,Topkapi Palace,museum,12,0.8121438111452497,primary,single_seed,Topkapi Palace
149049165,cp_149049165,Archeological Park,Archeological Park,historic,12,0.8117358459579099,primary,single_seed,Archeological Park
18055570,cp_18055570,Blue Mosque,Blue Mosque,attraction,12,0.8079814929979688,primary,single_seed,Blue Mosque
132277807,cp_132277807,Mausoleum of Princes,Mausoleum of Princes,historic,12,0.8078603320712782,primary,single_seed,Mausoleum of Princes
5244801843,cp_5244801843,Marmara Üniversitesi Cumhuriyet Müzesi ve Sanat Galerisi,Marmara Üniversitesi Cumhuriyet Müzesi ve Sanat Galerisi,museum,12,0.8044155331141827,primary,single_seed,Marmara Üniversitesi Cumhuriyet Müzesi ve Sanat Galerisi
2472730735,cp_2472730735,Cistern of Philoxenos,Cistern of Philoxenos,museum,12,0.8041686522513595,primary,single_seed,Cistern of Philoxenos
109836395,cp_109836395,Mausoleum of Sultan Murad III,Mausoleum of Sultan Murad III,historic,12,0.8041543523982415,primary,single_seed,Mausoleum of Sultan Murad III
5113620677,cp_5113620677,Sahabe-i Kiramdan Abdurrahman Şami Türbesi,Sahabe-i Kiramdan Abdurrahman Şami Türbesi,historic,12,0.8038441577882711,primary,single_seed,Sahabe-i Kiramdan Abdurrahman Şami Türbesi
4990028128,cp_4990028128,Carpet Museum,Carpet Museum,museum,12,0.8016571339753846,primary,single_seed,Carpet Museum
709381141,cp_709381141,Mausoleum of Sultan Selim II,Mausoleum of Sultan Selim II,historic,12,0.8004027259690221,primary,single_seed,Mausoleum of Sultan Selim II
109836394,cp_109836394,Mausoleum of Sultan Mehmed III,Mausoleum of Sultan Mehmed III,historic,12,0.8003294918903925,primary,single_seed,Mausoleum of Sultan Mehmed III
329062194,cp_329062194,Mausoleum of Sultan Mahmud II,Mausoleum of Sultan Mahmud II,historic,12,0.7990432221724273,primary,single_seed,Mausoleum of Sultan Mahmud II
4742554,cp_4742554,Hagia Irene,Hagia Irene,museum,12,0.7976237111379257,primary,single_seed,Hagia Irene
1908677124,cp_1908677124,Milion,Milion,historic,12,0.7962789879589164,primary,single_seed,Milion
103953128,cp_103953128,Sultan Ahmed Madrasah,Sultan Ahmed Madrasah,historic,12,0.7956527541776205,primary,single_seed,Sultan Ahmed Madrasah
13385771384,cp_13385771384,II. Abdülhamid Türbesi,II. Abdülhamid Türbesi,historic,12,0.7953630943761127,primary,single_seed,II. Abdülhamid Türbesi
335374188,cp_335374188,İstanbul Arkeoloji Müzeleri,İstanbul Arkeoloji Müzeleri,museum,12,0.7934602030966318,primary,single_seed,İstanbul Arkeoloji Müzeleri
319020883,cp_319020883,Istanbul Archaeological Museum,Istanbul Archaeological Museum,museum,12,0.7934516853177431,primary,single_seed,Istanbul Archaeological Museum
5244801844,cp_5244801844,İstanbul Cumhuriyet Eğitim Müzesi,İstanbul Cumhuriyet Eğitim Müzesi,museum,12,0.7932227132852074,primary,single_seed,İstanbul Cumhuriyet Eğitim Müzesi
5244807623,cp_5244807623,TGC Press Media Museum,TGC Press Media Museum,museum,12,0.7932208519105401,primary,single_seed,TGC Press Media Museum
109874498,cp_109874498,German Fountain,German Fountain,attraction,12,0.7910746890319853,primary,single_seed,German Fountain
103339340,cp_103339340,Museum Of Ancient Orient,Museum Of Ancient Orient,museum,12,0.7900084947275234,primary,single_seed,Museum Of Ancient Orient
4742207,cp_4742207,Marmara University Republic Museum,Marmara University Republic Museum,museum,12,0.7895549811324903,primary,single_seed,Marmara University Republic Museum
13702456359,cp_13702456359,Fulham Park Cistern,Fulham Park Cistern,attraction,12,0.7892536763603326,primary,single_seed,Fulham Park Cistern
1120852417,cp_1120852417,Obelisk of Theodosius,Obelisk of Theodosius,historic,12,0.787757479192329,primary,single_seed,Obelisk of Theodosius
1184924695,cp_1184924695,Yerebatan Sarnıcı,Yerebatan Sarnıcı,historic,12,0.7850238528242527,primary,auto_grouped,Yerebatan Sarnıcı
5108843098,cp_5108843098,Cevri Kalfa Çeşmesi,Cevri Kalfa Çeşmesi,attraction,12,0.7839032672595759,primary,single_seed,Cevri Kalfa Çeşmesi
1154702450,cp_1154702450,Theodosia Cistern,Theodosia Cistern,museum,12,0.781489165166183,primary,single_seed,Theodosia Cistern
1379168992,cp_1379168992,Katip Sinan Camii,Katip Sinan Camii,historic,12,0.778294096320328,primary,single_seed,Katip Sinan Camii
5108843109,cp_5108843109,Hacı Beşir Ağa Çeşmesi,Hacı Beşir Ağa Çeşmesi,attraction,12,0.7769251346262946,primary,single_seed,Hacı Beşir Ağa Çeşmesi
25512790,cp_25512790,Sultan Ahmed Square,Sultan Ahmed Square,attraction,12,0.7760674446106873,primary,single_seed,Sultan Ahmed Square
1272157516,cp_1272157516,SARNIÇ CISTERN,SARNIÇ CISTERN,historic,12,0.7733860370374873,primary,single_seed,SARNIÇ CISTERN
1120852418,cp_1120852418,The Walled Obelisk,The Walled Obelisk,historic,12,0.7727815775079241,primary,single_seed,The Walled Obelisk
1377906859,cp_1377906859,Üçler Mescidi,Üçler Mescidi,historic,12,0.7727022688342846,primary,single_seed,Üçler Mescidi
11006008339,cp_1184924695,Yerebatan Sarnıcı,Yerebatan Sarnıcı,attraction,12,0.7695882352941177,member,auto_grouped,Basilica Cistern (Exit)
415157636,cp_415157636,Serpent Column,Serpent Column,attraction,12,0.7682667963065052,primary,single_seed,Serpent Column
1555271,cp_1555271,Ayasofya-i Kebir Câmi-i Şerifi,Ayasofya-i Kebir Câmi-i Şerifi,museum,12,0.7681835752931446,primary,auto_grouped,Ayasofya-i Kebir Câmi-i Şerifi
32396096,cp_32396096,Palace Kitchens,Palace Kitchens,historic,12,0.7659919119617264,primary,single_seed,Palace Kitchens
303491953,cp_303491953,Alay Köşkü,Alay Köşkü,museum,12,0.7638168462617234,primary,single_seed,Alay Köşkü
109738926,cp_109738926,Sıbyan Mektebi,Sıbyan Mektebi,historic,12,0.7630982709605257,primary,single_seed,Sıbyan Mektebi
335415778,cp_335415778,Topkapı Palace,Topkapı Palace,attraction,12,0.7611404168876338,primary,single_seed,Topkapı Palace
151790453,cp_151790453,Haseki Hürrem Hammam,Haseki Hürrem Hammam,attraction,12,0.7581456549893157,primary,single_seed,Haseki Hürrem Hammam
13385771382,cp_13385771382,Sultan Abdulaziz Han kabri,Sultan Abdulaziz Han kabri,historic,12,0.7578610436970555,primary,single_seed,Sultan Abdulaziz Han kabri
5113620695,cp_5113620695,Museum of The History of Science and Technology in Islam,Museum of The History of Science and Technology in Islam,museum,12,0.7563119477270756,primary,single_seed,Museum of The History of Science and Technology in Islam
103339339,cp_103339339,Tiled Kiosk,Tiled Kiosk,museum,12,0.7521652419571724,primary,single_seed,Tiled Kiosk
109862851,cp_1555271,Ayasofya-i Kebir Câmi-i Şerifi,Ayasofya-i Kebir Câmi-i Şerifi,attraction,12,0.747139150398643,member,auto_grouped,Hagia Sophia
175523076,cp_175523076,National Palaces Painting Museum;Painting Museum,National Palaces Painting Museum;Painting Museum,museum,12,0.7465348215489771,primary,single_seed,National Palaces Painting Museum;Painting Museum
263949137,cp_263949137,Dolmabahce Palace,Dolmabahce Palace,museum,12,0.7443358151610736,primary,single_seed,Dolmabahce Palace
914394417,cp_914394417,Clock Museum,Clock Museum,museum,12,0.7442553795490467,primary,single_seed,Clock Museum
263949162,cp_263949162,Dolmabahce Palace,Dolmabahce Palace,museum,12,0.7410476197863717,primary,single_seed,Dolmabahce Palace
335402651,cp_335402651,Imperial Mint,Imperial Mint,attraction,12,0.7392074976874566,primary,single_seed,Imperial Mint
175516451,cp_175516451,Dolmabahce Palace,Dolmabahce Palace,museum,12,0.737641460823832,primary,single_seed,Dolmabahce Palace
1184851395,cp_1184851395,Bucoleon Palace Ruins,Bucoleon Palace Ruins,historic,12,0.7364798790603897,primary,single_seed,Bucoleon Palace Ruins
5108838368,cp_5108838368,Paşa Kapısı,Paşa Kapısı,attraction,12,0.7354163109964827,primary,single_seed,Paşa Kapısı
6180706492,cp_6180706492,Palace Collections Museum,Palace Collections Museum,museum,12,0.7347501098898078,primary,single_seed,Palace Collections Museum
335364925,cp_335364925,Imperial Gate,Imperial Gate,historic,12,0.7329518756199614,primary,single_seed,Imperial Gate
335402649,cp_335402649,Gate of Salutation,Gate of Salutation,historic,12,0.7319443322385596,primary,single_seed,Gate of Salutation
