canonical_poi_id,canonical_name,family_name,category_clean,lat,lon,cluster_id,importance_score,member_count,member_poi_ids,source_names,group_method,wiki_title,wiki_match_type,wiki_match_quality,besttime_supported,notes
cp_13615790287,Lausos Sarayı'nın Kalıntıları,Lausos Sarayı'nın Kalıntıları,historic,41.007586,28.9755539,12,0.8630041366163068,1,13615790287,Lausos Sarayı'nın Kalıntıları,single_seed,,,,,
cp_1075801479,Antiochos Sarayı'nın Kalıntıları,Antiochos Sarayı'nın Kalıntıları,historic,41.0072892,28.9753286,12,0.8592239579009757,1,1075801479,Antiochos Sarayı'nın Kalıntıları,single_seed,,,,,
cp_8120955,Ibrahim Pasha Palace,Ibrahim Pasha Palace,historic,41.0063974,28.9748082,12,0.8589147224356382,1,8120955,Ibrahim Pasha Palace,single_seed,,,,,
cp_311681431,Sağlık Müzesi,Sağlık Müzesi,museum,41.0083138,28.9752897,12,0.8493101502132174,1,311681431,Sağlık Müzesi,single_seed,,,,,
cp_1153966162,Great Palace Mosaic Museum,Great Palace Mosaic Museum,museum,41.0042947,28.977433,12,0.8442127747511758,1,1153966162,Great Palace Mosaic Museum,single_seed,,,,,
cp_103953125,Tomb of Sultan Ahmed I,Tomb of Sultan Ahmed I,attraction,41.0067894,28.9769854,12,0.8358979261397337,1,103953125,Tomb of Sultan Ahmed I,single_seed,,,,,
cp_11867279469,Hagia Sophia History and Experience Museum,Hagia Sophia History and Experience Museum,museum,41.0064549,28.9753667,12,0.8343905890613934,1,11867279469,Hagia Sophia History and Experience Museum,single_seed,,,,,
cp_5113500256,Turkish and Islamic Arts Museum,Turkish and Islamic Arts Museum,museum,41.0062801,28.974915,12,0.8342378630190977,1,5113500256,Turkish and Islamic Arts Museum,single_seed,,,,,
cp_3373094254,Carpet Museum,Carpet Museum,museum,41.0056817,28.9786693,12,0.827179907345949,1,3373094254,Carpet Museum,single_seed,,,,,
cp_527580309,Turbe of Keçecizâde Fuad Pasha,Turbe of Keçecizâde Fuad Pasha,historic,41.0065607,28.9728429,12,0.8210574583077491,1,527580309,Turbe of Keçecizâde Fuad Pasha,single_seed,,,,,
cp_1652694014,Magnaura Sarayı,Magnaura Sarayı,historic,41.0054477,28.9796589,12,0.8186124245073092,1,1652694014,Magnaura Sarayı,single_seed,,,,,
cp_10284696709,Topkapi Palace,Topkapi Palace,museum,41.011344,28.9832034,12,0.8121438111452497,1,10284696709,Topkapi Palace,single_seed,,,,,
cp_149049165,Archeological Park,Archeological Park,historic,41.0073268,28.9803843,12,0.8117358459579099,1,149049165,Archeological Park,single_seed,,,,,
cp_18055570,Blue Mosque,Blue Mosque,attraction,41.0054066,28.9766495,12,0.8079814929979688,1,18055570,Blue Mosque,single_seed,,,,,
cp_132277807,Mausoleum of Princes,Mausoleum of Princes,historic,41.0080155,28.9793917,12,0.8078603320712782,1,132277807,Mausoleum of Princes,single_seed,,,,,
cp_5244801843,Marmara Üniversitesi Cumhuriyet Müzesi ve Sanat Galerisi,Marmara Üniversitesi Cumhuriyet Müzesi ve Sanat Galerisi,museum,41.0051858,28.9743891,12,0.8044155331141827,1,5244801843,Marmara Üniversitesi Cumhuriyet Müzesi ve Sanat Galerisi,single_seed,,,,,
cp_2472730735,Cistern of Philoxenos,Cistern of Philoxenos,museum,41.007606,28.9744173,12,0.8041686522513595,1,2472730735,Cistern of Philoxenos,single_seed,,,,,
cp_109836395,Mausoleum of Sultan Murad III,Mausoleum of Sultan Murad III,historic,41.0079049,28.9794475,12,0.8041543523982415,1,109836395,Mausoleum of Sultan Murad III,single_seed,,,,,
cp_5113620677,Sahabe-i Kiramdan Abdurrahman Şami Türbesi,Sahabe-i Kiramdan Abdurrahman Şami Türbesi,historic,41.0066904,28.9791454,12,0.8038441577882711,1,5113620677,Sahabe-i Kiramdan Abdurrahman Şami Türbesi,single_seed,,,,,
cp_4990028128,Carpet Museum,Carpet Museum,museum,41.0087318,28.9809561,12,0.8016571339753846,1,4990028128,Carpet Museum,single_seed,,,,,
cp_709381141,Mausoleum of Sultan Selim II,Mausoleum of Sultan Selim II,historic,41.0079253,28.979715,12,0.8004027259690221,1,709381141,Mausoleum of Sultan Selim II,single_seed,,,,,
cp_109836394,Mausoleum of Sultan Mehmed III,Mausoleum of Sultan Mehmed III,historic,41.0077754,28.9799026,12,0.8003294918903925,1,109836394,Mausoleum of Sultan Mehmed III,single_seed,,,,,
cp_329062194,Mausoleum of Sultan Mahmud II,Mausoleum of Sultan Mahmud II,historic,41.0084813,28.9725914,12,0.7990432221724273,1,329062194,Mausoleum of Sultan Mahmud II,single_seed,,,,,
cp_4742554,Hagia Irene,Hagia Irene,museum,41.0098292,28.9809477,12,0.7976237111379257,1,4742554,Hagia Irene,single_seed,,,,,
cp_1908677124,Milion,Milion,historic,41.0080674,28.9780181,12,0.7962789879589164,1,1908677124,Milion,single_seed,,,,,
cp_103953128,Sultan Ahmed Madrasah,Sultan Ahmed Madrasah,historic,41.0065583,28.9772241,12,0.7956527541776205,1,103953128,Sultan Ahmed Madrasah,single_seed,,,,,
cp_13385771384,II. Abdülhamid Türbesi,II. Abdülhamid Türbesi,historic,41.0086349,28.972596,12,0.7953630943761127,1,13385771384,II. Abdülhamid Türbesi,single_seed,,,,,
cp_335374188,İstanbul Arkeoloji Müzeleri,İstanbul Arkeoloji Müzeleri,museum,41.0116941,28.9812131,12,0.7934602030966318,1,335374188,İstanbul Arkeoloji Müzeleri,single_seed,,,,,
cp_319020883,Istanbul Archaeological Museum,Istanbul Archaeological Museum,museum,41.0116433,28.9813725,12,0.7934516853177431,1,319020883,Istanbul Archaeological Museum,single_seed,,,,,
cp_5244801844,İstanbul Cumhuriyet Eğitim Müzesi,İstanbul Cumhuriyet Eğitim Müzesi,museum,41.0049596,28.9739331,12,0.7932227132852074,1,5244801844,İstanbul Cumhuriyet Eğitim Müzesi,single_seed,,,,,
cp_5244807623,TGC Press Media Museum,TGC Press Media Museum,museum,41.0085619,28.9722162,12,0.7932208519105401,1,5244807623,TGC Press Media Museum,single_seed,,,,,
cp_109874498,German Fountain,German Fountain,attraction,41.0071134,28.9766752,12,0.7910746890319853,1,109874498,German Fountain,single_seed,,,,,
cp_103339340,Museum Of Ancient Orient,Museum Of Ancient Orient,museum,41.011393,28.9804023,12,0.7900084947275234,1,103339340,Museum Of Ancient Orient,single_seed,,,,,
cp_4742207,Marmara University Republic Museum,Marmara University Republic Museum,museum,41.0048417,28.97413,12,0.7895549811324903,1,4742207,Marmara University Republic Museum,single_seed,,,,,
cp_13702456359,Fulham Park Cistern,Fulham Park Cistern,attraction,41.0137644,28.9817985,12,0.7892536763603326,1,13702456359,Fulham Park Cistern,single_seed,,,,,
cp_1120852417,Obelisk of Theodosius,Obelisk of Theodosius,historic,41.0059276,28.9754001,12,0.787757479192329,1,1120852417,Obelisk of Theodosius,single_seed,,,,,
cp_1184924695,Yerebatan Sarnıcı,Yerebatan Sarnıcı,historic,41.00867115,28.97801225,12,0.7850238528242527,2,1184924695|11006008339,Yerebatan Sarnıcı | Basilica Cistern (Exit),auto_grouped,,,,,
cp_5108843098,Cevri Kalfa Çeşmesi,Cevri Kalfa Çeşmesi,attraction,41.0080019,28.9767691,12,0.7839032672595759,1,5108843098,Cevri Kalfa Çeşmesi,single_seed,,,,,
cp_1154702450,Theodosia Cistern,Theodosia Cistern,museum,41.0074148,28.9723954,12,0.781489165166183,1,1154702450,Theodosia Cistern,single_seed,,,,,
cp_1379168992,Katip Sinan Camii,Katip Sinan Camii,historic,41.0059631,28.9707766,12,0.778294096320328,1,1379168992,Katip Sinan Camii,single_seed,,,,,
cp_5108843109,Hacı Beşir Ağa Çeşmesi,Hacı Beşir Ağa Çeşmesi,attraction,41.0082703,28.977987,12,0.7769251346262946,1,5108843109,Hacı Beşir Ağa Çeşmesi,single_seed,,,,,
cp_25512790,Sultan Ahmed Square,Sultan Ahmed Square,attraction,41.0065205,28.9760528,12,0.7760674446106873,1,25512790,Sultan Ahmed Square,single_seed,,,,,
cp_1272157516,SARNIÇ CISTERN,SARNIÇ CISTERN,historic,41.0120848,28.9838441,12,0.7733860370374873,1,1272157516,SARNIÇ CISTERN,single_seed,,,,,
cp_1120852418,The Walled Obelisk,The Walled Obelisk,historic,41.0054052,28.9748422,12,0.7727815775079241,1,1120852418,The Walled Obelisk,single_seed,,,,,
cp_1377906859,Üçler Mescidi,Üçler Mescidi,historic,41.0055263,28.9743308,12,0.7727022688342846,1,1377906859,Üçler Mescidi,single_seed,,,,,
cp_415157636,Serpent Column,Serpent Column,attraction,41.0056649,28.9751101,12,0.7682667963065052,1,415157636,Serpent Column,single_seed,,,,,
cp_1555271,Ayasofya-i Kebir Câmi-i Şerifi,Ayasofya-i Kebir Câmi-i Şerifi,museum,41.0084873,28.97993045,12,0.7681835752931446,2,1555271|109862851,Ayasofya-i Kebir Câmi-i Şerifi | Hagia Sophia,auto_grouped,,,,,
cp_32396096,Palace Kitchens,Palace Kitchens,historic,41.0116668,28.984489,12,0.7659919119617264,1,32396096,Palace Kitchens,single_seed,,,,,
cp_303491953,Alay Köşkü,Alay Köşkü,museum,41.0110425,28.978391,12,0.7638168462617234,1,303491953,Alay Köşkü,single_seed,,,,,
cp_109738926,Sıbyan Mektebi,Sıbyan Mektebi,historic,41.0080258,28.9790857,12,0.7630982709605257,1,109738926,Sıbyan Mektebi,single_seed,,,,,
cp_335415778,Topkapı Palace,Topkapı Palace,attraction,41.01281,28.9840154,12,0.7611404168876338,1,335415778,Topkapı Palace,single_seed,,,,,
cp_151790453,Haseki Hürrem Hammam,Haseki Hürrem Hammam,attraction,41.0069452,28.9788591,12,0.7581456549893157,1,151790453,Haseki Hürrem Hammam,single_seed,,,,,
cp_13385771382,Sultan Abdulaziz Han kabri,Sultan Abdulaziz Han kabri,historic,41.008552,28.9725794,12,0.7578610436970555,1,13385771382,Sultan Abdulaziz Han kabri,single_seed,,,,,
