display_name_en,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04,2023-06-11,2023-06-18,2023-06-25,2023-07-02,2023-07-09,2023-07-16,2023-07-23,2023-07-30,2023-08-06,2023-08-13,2023-08-20,2023-08-27,2023-09-03,2023-09-10,2023-09-17,2023-09-24,2023-10-01,2023-10-08,2023-10-15,2023-10-22,2023-10-29,2023-11-05,2023-11-12,2023-11-19,2023-11-26,2023-12-03,2023-12-10,2023-12-17,2023-12-24,2023-12-31,2024-01-07,2024-01-14,2024-01-21,2024-01-28,2024-02-04,2024-02-11,2024-02-18,2024-02-25,2024-03-03,2024-03-10,2024-03-17,2024-03-24,2024-03-31,2024-04-07,2024-04-14,2024-04-21,2024-04-28,2024-05-05,2024-05-12,2024-05-19,2024-05-26,2024-06-02,2024-06-09,2024-06-16,2024-06-23,2024-06-30,2024-07-07,2024-07-14,2024-07-21,2024-07-28,2024-08-04,2024-08-11,2024-08-18,2024-08-25,2024-09-01,2024-09-08,2024-09-15,2024-09-22,2024-09-29,2024-10-06,2024-10-13,2024-10-20,2024-10-27,2024-11-03,2024-11-10,2024-11-17,2024-11-24,2024-12-01,2024-12-08,2024-12-15,2024-12-22,2024-12-29,2025-01-05,2025-01-12,2025-01-19,2025-01-26,2025-02-02,2025-02-09,2025-02-16,2025-02-23,2025-03-02,2025-03-09,2025-03-16,2025-03-23,2025-03-30,2025-04-06,2025-04-13,2025-04-20,2025-04-27,2025-05-04,2025-05-11,2025-05-18,2025-05-25,2025-06-01,2025-06-08,2025-06-15,2025-06-22,2025-06-29,2025-07-06,2025-07-13,2025-07-20,2025-07-27,2025-08-03,2025-08-10,2025-08-17,2025-08-24,2025-08-31,2025-09-07,2025-09-14,2025-09-21,2025-09-28,2025-10-05,2025-10-12,2025-10-19,2025-10-26,2025-11-02,2025-11-09,2025-11-16,2025-11-23,2025-11-30,2025-12-07,2025-12-14,2025-12-21,2025-12-28,2026-01-04,2026-01-11,2026-01-18,2026-01-25,2026-02-01,2026-02-08,2026-02-15,2026-02-22,2026-03-01,2026-03-08,2026-03-15,2026-03-22,2026-03-29,2026-04-05,2026-04-12,2026-04-19,2026-04-26,2026-05-03
Hagia Sophia,29.62,31.65,27.8,38.27,28.58,24.35,44.18,29.18,30.52,28.2,28.4,35.46,50.24,37.2,38.3,45.15,47.33,46.35,42.56,48.73,70.05,52.74,38.52,56.04,54.11,61.37,87.4,72.75,79.69,76.57,71.08,71.83,59.87,67.2,51.08,65.65,70.04,60.66,57.24,60.89,54.58,56.18,56.04,52.15,47.35,35.62,35.84,47.68,41.95,41.93,37.04,38.86,35.13,19.81,24.68,32.56,26.76,38.44,39.51,36.97,38.23,38.71,42.74,49.16,43.28,43.87,37.94,63.22,56.46,57.03,57.12,67.2,63.23,56.22,67.66,72.99,70.18,71.88,67.57,75.26,78.09,71.22,100.0,70.17,70.67,79.61,69.28,71.33,57.11,58.79,63.5,56.92,55.12,59.48,52.68,54.63,54.49,47.66,47.35,48.44,48.9,44.24,45.57,33.88,42.48,50.41,38.81,26.01,32.28,32.16,43.75,45.64,41.59,34.55,34.2,37.99,41.36,45.71,49.73,41.25,46.49,53.37,56.49,57.46,58.49,58.32,79.73,71.11,63.77,65.21,76.37,73.1,72.58,81.11,75.11,73.46,87.79,70.81,73.6,67.8,66.73,55.77,49.12,56.31,59.04,63.05,58.21,43.64,23.09,38.42,33.81,45.04,38.74,47.7,46.8,37.44,32.63,37.99,39.52,29.59,41.74,30.57,44.52,36.83,41.84,42.4,32.17,50.2,58.08,43.74,49.1,56.6,54.67,57.88,42.25,46.11,62.54,73.58,70.24,71.27,67.88,71.35,67.21,77.84,59.36,85.12,74.37,75.91,58.95,68.41,51.72,66.77,61.98,63.19,45.16,60.56,42.77,43.06,43.29,77.5,40.0,27.19,36.57,45.0,23.51,46.45,72.68,31.48,35.85,25.41,42.22,37.31,26.05,25.59,19.24,31.37,33.48,47.07,58.07,56.26,36.25,44.17,54.92,43.22,59.63,49.27,43.65,63.04,43.82,66.29,55.87,58.9,68.37,67.86,59.86,73.79,76.09,60.61,74.98,59.9,71.11,59.61,66.84,56.22,53.16,49.83,43.22,55.54,57.84,39.8,44.12,46.52,42.05,45.93,39.5,28.88,34.33,36.37,78.66,43.17,49.38,40.26,59.03,45.66,43.76,79.64,44.92,40.41,40.28,45.91,42.77,46.24,53.83,47.1,55.65,81.52,79.63
Topkapı Palace,26.3,28.1,24.68,33.99,25.38,21.62,39.23,25.91,27.1,25.05,25.22,31.49,44.61,33.04,34.01,40.1,42.03,41.16,37.79,43.27,62.2,46.84,34.21,49.76,48.05,54.5,77.61,64.6,70.77,67.99,63.12,63.79,53.17,59.67,45.36,58.3,62.19,53.87,50.83,54.07,48.47,49.88,49.76,46.31,42.05,31.63,31.83,42.34,37.25,37.23,32.89,34.51,31.2,17.59,21.91,28.91,23.77,34.13,35.09,32.83,33.95,34.37,37.95,43.65,38.43,38.96,33.69,56.14,50.14,50.65,50.72,59.67,56.15,49.92,60.08,64.82,62.32,63.83,60.01,66.84,69.35,63.24,88.8,62.31,62.76,70.69,61.52,63.34,50.71,52.2,56.39,50.54,48.94,52.82,46.78,48.51,48.39,42.33,42.04,43.01,43.42,39.28,40.46,30.08,37.73,44.76,34.47,23.1,28.67,28.56,38.85,40.53,36.93,30.68,30.37,33.74,36.73,40.59,44.16,36.63,41.28,47.39,50.16,51.02,51.94,51.79,70.8,63.15,56.63,57.9,67.82,64.92,64.46,72.03,66.7,65.23,77.96,62.88,65.36,60.21,59.26,49.53,43.62,50.0,52.43,55.99,51.69,38.76,20.5,34.12,30.02,40.0,34.4,42.35,41.56,33.24,28.97,33.73,35.09,26.27,37.07,27.15,39.54,32.7,37.16,37.65,28.57,44.57,51.57,38.84,43.6,50.26,48.55,51.4,37.52,40.95,55.53,65.34,62.37,63.29,60.28,63.36,59.68,69.12,52.71,75.59,66.04,67.41,52.35,60.75,45.92,59.29,55.04,56.11,40.11,53.77,37.98,38.24,38.44,68.82,35.52,24.15,32.48,39.96,20.88,41.25,64.54,27.95,31.83,22.56,37.5,33.13,23.13,22.72,17.09,27.86,29.73,41.8,51.57,49.96,32.19,39.23,48.77,38.38,52.95,43.76,38.77,55.98,38.91,58.87,49.61,52.3,60.72,60.26,53.16,65.52,67.57,53.82,66.58,53.19,63.14,52.93,59.36,49.92,47.21,44.25,38.38,49.32,51.36,35.35,39.18,41.31,37.34,40.78,35.08,25.65,30.48,32.3,69.85,38.33,43.85,35.75,52.42,40.54,38.86,70.72,39.89,35.88,35.77,40.77,37.98,41.06,47.8,41.83,49.42,72.39,70.72
Mausoleum of Mahmud II,26.14,27.93,24.53,33.78,25.22,21.48,38.99,25.75,26.93,24.89,25.06,31.29,44.33,32.83,33.8,39.85,41.77,40.9,37.56,43.0,61.81,46.54,34.0,49.45,47.75,54.16,77.12,64.2,70.33,67.57,62.73,63.39,52.83,59.3,45.08,57.94,61.8,53.53,50.51,53.74,48.16,49.57,49.45,46.02,41.79,31.43,31.63,42.08,37.02,37.0,32.68,34.29,31.0,17.48,21.78,28.73,23.62,33.92,34.87,32.62,33.73,34.16,37.71,43.38,38.19,38.72,33.48,55.79,49.83,50.33,50.41,59.3,55.8,49.61,59.71,64.41,61.93,63.43,59.63,66.42,68.92,62.85,88.25,61.93,62.37,70.25,61.14,62.94,50.4,51.88,56.03,50.23,48.64,52.49,46.49,48.21,48.09,42.06,41.78,42.75,43.15,39.04,40.21,29.9,37.49,44.48,34.25,22.95,28.49,28.38,38.61,40.27,36.7,30.49,30.18,33.53,36.5,40.33,43.88,36.4,41.02,47.09,49.85,50.7,51.62,51.46,70.36,62.75,56.28,57.54,67.4,64.51,64.05,71.58,66.29,64.83,77.47,62.49,64.95,59.83,58.89,49.22,43.35,49.69,52.1,55.64,51.37,38.52,20.37,33.9,29.83,39.75,34.18,42.09,41.3,33.04,28.79,33.52,34.87,26.11,36.83,26.98,39.29,32.5,36.92,37.42,28.39,44.3,51.25,38.6,43.33,49.94,48.24,51.08,37.29,40.69,55.19,64.93,61.98,62.89,59.9,62.97,59.31,68.69,52.39,75.12,65.63,66.99,52.02,60.37,45.64,58.92,54.7,55.76,39.86,53.44,37.75,38.0,38.2,68.39,35.3,24.0,32.28,39.71,20.75,40.99,64.14,27.78,31.64,22.42,37.26,32.93,22.99,22.58,16.98,27.69,29.54,41.54,51.24,49.64,31.99,38.98,48.46,38.14,52.62,43.48,38.52,55.63,38.67,58.5,49.3,51.98,60.34,59.89,52.83,65.11,67.15,53.49,66.17,52.86,62.75,52.6,58.99,49.61,46.91,43.97,38.14,49.02,51.04,35.13,38.93,41.05,37.11,40.53,34.86,25.49,30.29,32.09,69.41,38.09,43.58,35.53,52.09,40.29,38.62,70.28,39.64,35.66,35.54,40.52,37.74,40.8,47.51,41.57,49.11,71.93,70.28
Ecumenical Patriarchate of Constantinople,25.85,27.63,24.27,33.41,24.95,21.25,38.57,25.47,26.64,24.62,24.79,30.95,43.86,32.48,33.43,39.42,41.32,40.46,37.15,42.54,61.15,46.04,33.63,48.92,47.24,53.58,76.29,63.51,69.57,66.84,62.05,62.71,52.27,58.66,44.59,57.31,61.14,52.95,49.97,53.16,47.65,49.04,48.92,45.52,41.34,31.1,31.29,41.62,36.62,36.6,32.33,33.92,30.67,17.29,21.54,28.42,23.36,33.56,34.49,32.27,33.37,33.79,37.31,42.91,37.78,38.3,33.12,55.19,49.29,49.79,49.87,58.66,55.2,49.08,59.07,63.72,61.27,62.75,58.99,65.7,68.18,62.17,87.3,61.26,61.7,69.5,60.48,62.27,49.85,51.32,55.43,49.69,48.12,51.92,45.99,47.69,47.57,41.61,41.33,42.29,42.69,38.62,39.78,29.57,37.09,44.0,33.88,22.71,28.18,28.08,38.2,39.84,36.31,30.16,29.85,33.17,36.11,39.9,43.41,36.01,40.58,46.59,49.31,50.16,51.06,50.91,69.6,62.08,55.67,56.92,66.67,63.82,63.36,70.81,65.57,64.13,76.64,61.81,64.25,59.19,58.26,48.69,42.88,49.15,51.54,55.05,50.82,38.1,20.16,33.54,29.51,39.32,33.82,41.64,40.86,32.68,28.48,33.16,34.5,25.83,36.44,26.69,38.87,32.15,36.53,37.01,28.09,43.82,50.7,38.18,42.86,49.41,47.72,50.53,36.89,40.26,54.59,64.24,61.32,62.22,59.26,62.29,58.67,67.95,51.82,74.31,64.92,66.27,51.46,59.72,45.15,58.29,54.11,55.16,39.43,52.86,37.34,37.59,37.79,67.65,34.92,23.74,31.93,39.28,20.52,40.55,63.45,27.48,31.3,22.18,36.86,32.57,22.74,22.34,16.8,27.39,29.22,41.09,50.69,49.11,31.65,38.56,47.94,37.73,52.06,43.01,38.11,55.03,38.25,57.87,48.77,51.42,59.69,59.24,52.26,64.41,66.43,52.91,65.46,52.29,62.08,52.04,58.35,49.08,46.41,43.5,37.73,48.49,50.49,34.75,38.52,40.61,36.71,40.09,34.49,25.21,29.97,31.75,68.67,37.68,43.11,35.15,51.53,39.86,38.2,69.52,39.22,35.27,35.16,40.08,37.34,40.36,46.99,41.12,48.58,71.16,69.52
Walls of Constantinople,25.77,27.54,24.19,33.31,24.88,21.19,38.45,25.39,26.56,24.55,24.71,30.86,43.72,32.38,33.33,39.3,41.19,40.34,37.04,42.41,60.96,45.9,33.53,48.77,47.09,53.41,76.06,63.31,69.36,66.64,61.86,62.51,52.11,58.48,44.46,57.14,60.95,52.79,49.82,52.99,47.5,48.89,48.77,45.38,41.21,31.0,31.19,41.49,36.51,36.49,32.23,33.82,30.57,17.24,21.48,28.33,23.29,33.45,34.38,32.17,33.27,33.69,37.19,42.78,37.66,38.18,33.02,55.02,49.14,49.63,49.71,58.48,55.03,48.92,58.88,63.52,61.08,62.56,58.81,65.5,67.96,61.98,87.03,61.07,61.5,69.28,60.29,62.07,49.7,51.16,55.26,49.53,47.97,51.76,45.84,47.54,47.42,41.48,41.2,42.15,42.55,38.5,39.66,29.48,36.97,43.87,33.78,22.64,28.1,27.99,38.08,39.72,36.19,30.07,29.76,33.06,36.0,39.78,43.28,35.9,40.46,46.44,49.16,50.0,50.9,50.75,69.39,61.89,55.5,56.75,66.47,63.62,63.17,70.59,65.37,63.93,76.4,61.62,64.06,59.0,58.08,48.54,42.75,49.0,51.38,54.87,50.66,37.98,20.09,33.43,29.42,39.2,33.71,41.51,40.73,32.58,28.39,33.06,34.39,25.75,36.33,26.6,38.75,32.05,36.41,36.9,28.0,43.68,50.54,38.06,42.73,49.25,47.58,50.37,36.77,40.13,54.43,64.04,61.13,62.02,59.07,62.1,58.49,67.74,51.66,74.08,64.72,66.07,51.3,59.54,45.01,58.11,53.94,54.99,39.31,52.7,37.23,37.47,37.67,67.44,34.81,23.66,31.83,39.16,20.46,40.42,63.25,27.39,31.2,22.11,36.75,32.47,22.67,22.27,16.75,27.3,29.13,40.97,50.54,48.96,31.55,38.44,47.8,37.61,51.89,42.88,37.99,54.86,38.13,57.69,48.62,51.26,59.5,59.06,52.1,64.21,66.22,52.75,65.25,52.13,61.88,51.88,58.17,48.92,46.26,43.36,37.61,48.34,50.34,34.64,38.4,40.48,36.6,39.97,34.38,25.13,29.87,31.65,68.45,37.57,42.97,35.04,51.37,39.73,38.09,69.31,39.09,35.17,35.05,39.96,37.22,40.24,46.85,40.99,48.43,70.94,69.3
Galata Tower,25.14,26.86,23.59,32.48,24.26,20.66,37.5,24.76,25.9,23.94,24.1,30.09,42.63,31.57,32.5,38.32,40.17,39.34,36.12,41.35,59.45,44.76,32.69,47.56,45.93,52.09,74.17,61.74,67.63,64.98,60.33,60.96,50.81,57.03,43.35,55.72,59.44,51.48,48.58,51.68,46.32,47.68,47.56,44.26,40.19,30.23,30.42,40.46,35.6,35.58,31.43,32.98,29.81,16.81,20.94,27.63,22.71,32.62,33.53,31.38,32.44,32.85,36.27,41.72,36.73,37.24,32.2,53.65,47.92,48.4,48.48,57.03,53.66,47.71,57.42,61.95,59.56,61.01,57.35,63.88,66.28,60.44,84.87,59.55,59.98,67.56,58.8,60.53,48.47,49.89,53.89,48.3,46.78,50.48,44.71,46.36,46.25,40.45,40.18,41.11,41.5,37.55,38.67,28.75,36.06,42.78,32.94,22.07,27.4,27.29,37.13,38.73,35.3,29.32,29.02,32.24,35.1,38.79,42.2,35.01,39.45,45.29,47.94,48.76,49.64,49.49,67.67,60.35,54.12,55.34,64.82,62.04,61.6,68.84,63.75,62.34,74.5,60.09,62.47,57.54,56.63,47.33,41.69,47.79,50.1,53.51,49.4,37.04,19.59,32.6,28.69,38.23,32.87,40.48,39.72,31.77,27.69,32.24,33.54,25.11,35.42,25.94,37.79,31.26,35.51,35.98,27.3,42.6,49.29,37.12,41.67,48.03,46.4,49.12,35.86,39.14,53.08,62.45,59.61,60.49,57.61,60.56,57.04,66.06,50.38,72.24,63.11,64.43,50.03,58.06,43.89,56.67,52.6,53.63,38.33,51.39,36.3,36.55,36.74,65.77,33.95,23.08,31.04,38.19,19.95,39.42,61.68,26.71,30.42,21.56,35.84,31.67,22.11,21.71,16.33,26.63,28.41,39.95,49.28,47.74,30.77,37.49,46.61,36.68,50.61,41.82,37.05,53.5,37.19,56.26,47.41,49.99,58.03,57.6,50.81,62.62,64.58,51.44,63.64,50.84,60.35,50.59,56.73,47.71,45.11,42.29,36.68,47.14,49.09,33.78,37.44,39.48,35.69,38.98,33.53,24.51,29.13,30.87,66.75,36.63,41.91,34.17,50.09,38.75,37.14,67.59,38.12,34.29,34.18,38.97,36.3,39.24,45.69,39.98,47.23,69.18,67.59
Süleymaniye Mosque,24.91,26.61,23.38,32.19,24.04,20.48,37.16,24.54,25.67,23.72,23.88,29.82,42.25,31.29,32.21,37.97,39.8,38.98,35.79,40.98,58.91,44.36,32.4,47.13,45.51,51.62,73.5,61.18,67.02,64.4,59.78,60.41,50.35,56.51,42.96,55.21,58.9,51.01,48.14,51.21,45.9,47.24,47.13,43.86,39.83,29.96,30.14,40.1,35.28,35.26,31.15,32.68,29.54,16.66,20.75,27.38,22.51,32.33,33.23,31.09,32.15,32.55,35.94,41.34,36.4,36.9,31.91,53.17,47.49,47.97,48.04,56.52,53.18,47.28,56.9,61.39,59.03,60.45,56.83,63.3,65.68,59.9,84.1,59.02,59.44,66.95,58.27,59.99,48.03,49.44,53.4,47.87,46.35,50.02,44.3,45.94,45.83,40.09,39.82,40.74,41.12,37.21,38.32,28.49,35.73,42.39,32.64,21.88,27.15,27.05,36.8,38.38,34.98,29.06,28.76,31.95,34.79,38.44,41.82,34.69,39.1,44.88,47.51,48.32,49.19,49.05,67.05,59.81,53.63,54.84,64.23,61.48,61.04,68.22,63.17,61.78,73.83,59.55,61.9,57.02,56.12,46.91,41.31,47.35,49.65,53.03,48.96,36.71,19.42,32.31,28.43,37.88,32.58,40.11,39.36,31.48,27.44,31.95,33.24,24.88,35.1,25.71,37.45,30.97,35.19,35.66,27.06,42.22,48.84,36.78,41.29,47.6,45.98,48.68,35.54,38.78,52.6,61.88,59.07,59.94,57.09,60.01,56.52,65.47,49.92,71.59,62.54,63.84,49.58,57.54,43.49,56.16,52.13,53.14,37.98,50.93,35.97,36.21,36.41,65.18,33.64,22.87,30.76,37.84,19.77,39.07,61.12,26.47,30.15,21.37,35.51,31.38,21.91,21.52,16.18,26.39,28.15,39.59,48.84,47.31,30.49,37.15,46.19,36.35,50.15,41.44,36.71,53.01,36.85,55.75,46.99,49.54,57.5,57.07,50.35,62.06,63.99,50.97,63.06,50.38,59.8,50.13,56.22,47.28,44.71,41.9,36.35,46.71,48.64,33.48,37.11,39.12,35.37,38.63,33.22,24.29,28.87,30.59,66.15,36.3,41.53,33.86,49.64,38.4,36.81,66.98,37.78,33.98,33.87,38.61,35.97,38.89,45.27,39.61,46.8,68.56,66.97
Church of the Holy Apostles,24.82,26.52,23.29,32.07,23.95,20.4,37.02,24.45,25.57,23.64,23.8,29.71,42.1,31.18,32.09,37.84,39.66,38.84,35.67,40.83,58.7,44.2,32.28,46.96,45.35,51.43,73.24,60.96,66.78,64.16,59.57,60.2,50.17,56.31,42.81,55.02,58.69,50.83,47.97,51.03,45.74,47.07,46.96,43.7,39.68,29.85,30.03,39.95,35.15,35.14,31.04,32.56,29.44,16.6,20.68,27.28,22.43,32.21,33.11,30.98,32.03,32.44,35.81,41.19,36.27,36.77,31.8,52.98,47.31,47.79,47.87,56.31,52.98,47.11,56.7,61.17,58.81,60.24,56.63,63.07,65.44,59.68,83.8,58.8,59.22,66.71,58.06,59.77,47.86,49.26,53.21,47.7,46.19,49.84,44.14,45.78,45.67,39.94,39.68,40.59,40.97,37.07,38.18,28.39,35.6,42.24,32.52,21.8,27.05,26.95,36.66,38.24,34.85,28.95,28.66,31.84,34.66,38.3,41.67,34.57,38.96,44.72,47.34,48.15,49.01,48.87,66.81,59.59,53.44,54.64,64.0,61.26,60.83,67.97,62.95,61.56,73.57,59.34,61.68,56.81,55.92,46.74,41.17,47.18,49.47,52.84,48.78,36.57,19.35,32.19,28.33,37.74,32.46,39.97,39.22,31.37,27.34,31.83,33.12,24.79,34.98,25.62,37.31,30.86,35.06,35.53,26.96,42.06,48.67,36.65,41.14,47.43,45.81,48.51,35.41,38.64,52.41,61.66,58.86,59.72,56.88,59.79,56.32,65.23,49.75,71.33,62.32,63.62,49.4,57.33,43.34,55.95,51.94,52.95,37.85,50.75,35.85,36.08,36.27,64.94,33.52,22.79,30.65,37.71,19.7,38.92,60.9,26.38,30.04,21.29,35.38,31.27,21.83,21.44,16.13,26.29,28.05,39.45,48.66,47.14,30.38,37.02,46.02,36.22,49.97,41.29,36.58,52.82,36.72,55.55,46.82,49.36,57.3,56.87,50.17,61.83,63.76,50.79,62.83,50.2,59.59,49.95,56.01,47.11,44.55,41.75,36.22,46.55,48.47,33.36,36.97,38.98,35.24,38.49,33.1,24.2,28.77,30.48,65.91,36.17,41.38,33.74,49.46,38.26,36.67,66.73,37.64,33.86,33.75,38.48,35.84,38.75,45.11,39.47,46.63,68.31,66.73
Bosphorus Bridge,23.86,25.5,22.4,30.84,23.03,19.62,35.6,23.51,24.59,22.72,22.88,28.57,40.47,29.97,30.86,36.38,38.13,37.34,34.29,39.26,56.44,42.49,31.04,45.15,43.6,49.45,70.41,58.61,64.21,61.69,57.27,57.87,48.24,54.14,41.16,52.9,56.43,48.87,46.12,49.06,43.97,45.26,45.15,42.01,38.15,28.7,28.88,38.41,33.8,33.78,29.84,31.31,28.3,15.96,19.88,26.23,21.56,30.97,31.83,29.79,30.8,31.19,34.43,39.6,34.87,35.35,30.57,50.93,45.49,45.95,46.02,54.14,50.94,45.29,54.51,58.81,56.55,57.91,54.44,60.64,62.92,57.38,80.57,56.54,56.94,64.14,55.82,57.47,46.01,47.36,51.16,45.86,44.41,47.92,42.44,44.01,43.91,38.4,38.15,39.03,39.39,35.64,36.71,27.3,34.23,40.61,31.27,20.96,26.01,25.91,35.25,36.77,33.51,27.84,27.55,30.61,33.32,36.83,40.06,33.24,37.45,43.0,45.51,46.29,47.12,46.99,64.24,57.29,51.38,52.54,61.53,58.9,58.48,65.35,60.52,59.19,70.73,57.05,59.3,54.62,53.77,44.93,39.58,45.37,47.57,50.8,46.9,35.16,18.6,30.95,27.24,36.29,31.21,38.43,37.71,30.16,26.29,30.6,31.84,23.84,33.63,24.63,35.87,29.67,33.71,34.16,25.92,40.44,46.79,35.24,39.56,45.6,44.05,46.64,34.04,37.15,50.39,59.28,56.59,57.42,54.69,57.49,54.15,62.72,47.83,68.58,59.92,61.16,47.5,55.12,41.67,53.8,49.94,50.91,36.39,48.79,34.46,34.69,34.88,62.44,32.23,21.91,29.47,36.25,18.94,37.42,58.56,25.36,28.88,20.47,34.02,30.06,20.99,20.61,15.5,25.28,26.97,37.93,46.78,45.33,29.21,35.59,44.25,34.82,48.04,39.7,35.17,50.79,35.3,53.41,45.01,47.45,55.09,54.68,48.23,59.45,61.31,48.83,60.41,48.26,57.29,48.03,53.85,45.29,42.83,40.14,34.82,44.75,46.6,32.07,35.55,37.48,33.88,37.0,31.83,23.27,27.66,29.3,63.37,34.78,39.78,32.44,47.56,36.79,35.26,64.16,36.19,32.56,32.45,36.99,34.46,37.25,43.37,37.95,44.84,65.68,64.16
Great Palace of Constantinople,23.74,25.37,22.28,30.68,22.91,19.52,35.41,23.39,24.46,22.61,22.76,28.42,40.27,29.82,30.7,36.19,37.94,37.15,34.12,39.06,56.15,42.28,30.88,44.92,43.38,49.2,70.06,58.31,63.88,61.38,56.98,57.58,47.99,53.86,40.95,52.63,56.14,48.62,45.89,48.81,43.75,45.03,44.92,41.8,37.96,28.55,28.73,38.22,33.63,33.61,29.69,31.15,28.16,15.88,19.78,26.1,21.45,30.81,31.67,29.64,30.64,31.03,34.26,39.4,34.69,35.17,30.42,50.67,45.26,45.72,45.79,53.87,50.68,45.06,54.24,58.51,56.26,57.62,54.17,60.33,62.6,57.09,80.16,56.25,56.65,63.82,55.54,57.18,45.78,47.12,50.9,45.62,44.18,47.68,42.23,43.79,43.68,38.21,37.95,38.83,39.19,35.46,36.53,27.16,34.06,40.41,31.11,20.85,25.88,25.78,35.07,36.58,33.34,27.7,27.41,30.45,33.16,36.64,39.86,33.07,37.26,42.78,45.28,46.06,46.89,46.75,63.91,57.0,51.12,52.27,61.22,58.6,58.18,65.02,60.21,58.88,70.37,56.76,59.0,54.35,53.49,44.71,39.38,45.13,47.32,50.54,46.66,34.99,18.51,30.8,27.1,36.11,31.05,38.23,37.52,30.01,26.15,30.45,31.68,23.72,33.46,24.51,35.69,29.52,33.54,33.99,25.79,40.24,46.55,35.06,39.36,45.37,43.82,46.4,33.87,36.97,50.13,58.98,56.3,57.13,54.41,57.2,53.87,62.4,47.58,68.24,59.61,60.85,47.26,54.84,41.46,53.52,49.68,50.65,36.2,48.54,34.29,34.52,34.7,62.12,32.07,21.8,29.32,36.07,18.84,37.23,58.26,25.23,28.74,20.37,33.85,29.91,20.88,20.51,15.43,25.15,26.83,37.73,46.55,45.1,29.06,35.41,44.02,34.64,47.8,39.5,34.99,50.53,35.12,53.14,44.78,47.21,54.81,54.4,47.99,59.15,61.0,48.58,60.1,48.02,57.0,47.78,53.58,45.06,42.61,39.94,34.64,44.52,46.36,31.91,35.37,37.29,33.71,36.82,31.67,23.15,27.52,29.15,63.05,34.6,39.58,32.28,47.32,36.6,35.08,63.84,36.01,32.39,32.29,36.8,34.29,37.06,43.15,37.76,44.61,65.34,63.84
