date,poi_id,display_name_en,category_clean,query_area,lat,lon,crowdindex_poi,crowd_pressure_100,city_demand_score,poi_weight_value
2026-05-03,otm_R1555271,Hagia Sophia,museum,Hagia Sophia / Basilica Cistern,41.008506774902344,28.980009078979492,0.0037622298993944,100.0,0.6084517240524292,0.0061832841467473
2026-05-03,otm_W335415778,Topkapı Palace,museum,Topkapi Palace,41.012977600097656,28.984066009521484,0.0033409172439546,88.8,0.6084517240524292,0.0054908501560376
2026-05-03,otm_N663391254,Mausoleum of Mahmud II,historic,Sultanahmet Core,41.008445739746094,28.972728729248047,0.0033200560661259,88.25,0.6084517240524292,0.0054565644814244
2026-05-03,otm_Q211004,Ecumenical Patriarchate of Constantinople,religious,Balat / Fener,41.02916717529297,28.9516658782959,0.003284375971142,87.3,0.6084517240524292,0.005397923682864
2026-05-03,otm_R4429629,Walls of Constantinople,historic,Balat / Fener,41.0323371887207,28.938077926635746,0.0032741978193976,87.03,0.6084517240524292,0.0053811957300256
2026-05-03,otm_W23236783,Galata Tower,attraction,Galata Tower,41.02564239501953,28.974212646484375,0.0031929685372876,84.87,0.6084517240524292,0.0052476941243945
2026-05-03,otm_R1564032,Süleymaniye Mosque,religious,Suleymaniye,41.016300201416016,28.963977813720703,0.0031641123805144,84.1,0.6084517240524292,0.0052002685758546
2026-05-03,otm_Q586568,Church of the Holy Apostles,historic,Fatih / Valens Aqueduct,41.01972198486328,28.949722290039062,0.0031527395613541,83.8,0.6084517240524292,0.0051815771682858
2026-05-03,otm_N5224440223,Bosphorus Bridge,attraction,Beylerbeyi Palace,41.045352935791016,29.03449249267578,0.0030312031663287,80.57,0.6084517240524292,0.0049818301871843
2026-05-03,otm_Q475338,Great Palace of Constantinople,historic,Sultanahmet Core,41.00638961791992,28.9777774810791,0.0030158224127616,80.16,0.6084517240524292,0.0049565516762375
2026-05-03,otm_R1661399,Fatih Mosque,religious,Fatih / Valens Aqueduct,41.01981735229492,28.94988250732422,0.0030099210090923,80.0,0.6084517240524292,0.0049468526262783
2026-05-03,otm_R4742554,Hagia Irene,museum,Hagia Sophia / Basilica Cistern,41.00974655151367,28.98106384277344,0.0029579348672115,78.62,0.6084517240524292,0.0048614125825973
2026-05-03,otm_N415157637,Obelisk of Theodosius,historic,Sultanahmet Core,41.00590896606445,28.975379943847656,0.0029482454402214,78.36,0.6084517240524292,0.0048454878565968
2026-05-03,otm_N7215645385,The Blue Mosque,religious,Sultanahmet Core,41.005252838134766,28.976892471313477,0.0028931092800726,76.9,0.6084517240524292,0.0047548707082361
2026-05-03,otm_W103953125,Tomb of Sultan Ahmet,religious,Sultanahmet Core,41.00679016113281,28.97703742980957,0.0028931092800726,76.9,0.6084517240524292,0.0047548707082361
2026-05-03,otm_Q27926432,Tombili,historic,Kadikoy Historic Center,40.9857292175293,29.039587020874023,0.0028925295995309,76.88,0.6084517240524292,0.0047539179941278
2026-05-03,otm_W498861861,Ciragan Palace,historic,Yildiz Palace,41.0434684753418,29.01531410217285,0.0028349530086168,75.35,0.6084517240524292,0.0046592899593338
2026-05-03,otm_W326372295,Yıldız Palace,museum,Yildiz Palace,41.05007553100586,29.01161766052246,0.0028313896591547,75.26,0.6084517240524292,0.0046534335383209
2026-05-03,otm_W206855035,Hagia Triada Greek Orthodox Church,religious,Istiklal / Pera,41.035587310791016,28.984235763549805,0.0028267586689378,75.14,0.6084517240524292,0.0046458224328974
2026-05-03,otm_N415157636,Serpent Column,historic,Sultanahmet Core,41.00566101074219,28.9751033782959,0.0028211713141241,74.99,0.6084517240524292,0.004636639527183
2026-05-03,otm_W335402651,Imperial Mint,attraction,Topkapi Palace,41.010467529296875,28.980379104614254,0.002809284728748,74.67,0.6084517240524292,0.0046171037367395
2026-05-03,otm_R7318154,Rumeli Fortress,museum,Rumeli Hisari,41.08497619628906,29.056764602661133,0.0028019666490656,74.48,0.6084517240524292,0.0046050763574206
2026-05-03,otm_R7656706,Şehzade Mosque,religious,Fatih / Valens Aqueduct,41.01383209228515,28.9571590423584,0.0027985755784095,74.39,0.6084517240524292,0.0045995030793411
2026-05-03,otm_W61736367,Beylerbeyi Palace,museum,Beylerbeyi Palace,41.042694091796875,29.040014266967773,0.0027924369489321,74.22,0.6084517240524292,0.0045894141450267
2026-05-03,otm_N4591192493,Spice Bazaar,attraction,Eminonu / Spice Bazaar,41.01628112792969,28.971256256103516,0.0027629824367624,73.44,0.6084517240524292,0.0045410051899605
2026-05-03,otm_N6919989286,Ortaköy Mosque,religious,Ortakoy,41.04729080200195,29.02560806274414,0.0027551043038812,73.23,0.6084517240524292,0.0045280573543808
2026-05-03,otm_W600269984,Eyüp Sultan Mosque,religious,Eyup / Pierre Loti,41.047603607177734,28.93349838256836,0.002751762464916,73.14,0.6084517240524292,0.0045225649893613
2026-05-03,otm_N3279398393,The Museum of Innocence,museum,Istiklal / Pera,41.030906677246094,28.97978782653809,0.0027450617004831,72.96,0.6084517240524292,0.0045115521773862
2026-05-03,otm_W403376607,Fatih Sultan Mehmet Bridge,attraction,Rumeli Hisari,41.09130859375,29.061382293701172,0.0027418438001673,72.88,0.6084517240524292,0.0045062635074909
2026-05-03,otm_W23276526,Valens Aqueduct,historic,Fatih / Valens Aqueduct,41.016117095947266,28.95530128479004,0.002734646146364,72.69,0.6084517240524292,0.0044944340500027
