anchor_poi_id,anchor_name,anchor_category,basis_week_start,basis_label,basis_level,anchor_crowd_signal,anchor_crowd_level,anchor_city_demand_score,recommendation_count,has_recommendation,top_alternative_poi_id,top_alternative_name,top_alternative_category,top_alternative_crowd_signal,top_crowd_relief,top_similarity,top_practicality,top_distance_to_anchor_km,top_distance_km,top_alternative_score,top_family_overlap_count,top_subtype_overlap_count,top_explanation,reroute_recommended,anchor_is_high,anchor_is_low_or_medium,ui_would_show_alternatives,raw_low_medium_suppressed
otm_R1555271,Hagia Sophia,museum,2026-05-03,Latest modeled week (2026-05-03),High,0.8397536528904636,High,0.6084517240524292,5,True,otm_R4742554,Hagia Irene,museum,0.6779,0.1928,0.9833,0.9563,0.164,0.164,0.6221695777193079,3.0,2.0,"Hagia Irene is a less crowded alternative to Hagia Sophia, with crowd pressure lower by 0.16, about 0.2 km from the anchor.",True,True,False,True,False
otm_R1555271,Hagia Sophia,museum,2026-03-08,Recent low week (2026-03-08),Low,0.5300573999401433,Medium,0.3077321052551269,5,True,otm_R4742554,Hagia Irene,museum,0.4218,0.2043,0.9833,0.9563,0.164,0.164,0.742863141337664,3.0,2.0,"Hagia Irene is a less crowded alternative to Hagia Sophia, with crowd pressure lower by 0.11, about 0.2 km from the anchor.",True,False,True,False,False
otm_R1555271,Hagia Sophia,museum,2026-04-19,Recent medium week (2026-04-19),Medium,0.651017269793407,Medium,0.4251859188079834,5,True,otm_R4742554,Hagia Irene,museum,0.5218,0.1985,0.9833,0.9563,0.164,0.164,0.6247432220562117,3.0,2.0,"Hagia Irene is a less crowded alternative to Hagia Sophia, with crowd pressure lower by 0.13, about 0.2 km from the anchor.",True,False,True,False,False
otm_N7294561685,Chora Mosque / Kariye Museum,museum,2026-05-03,Latest modeled week (2026-05-03),High,0.615301828282482,Medium,0.6084517240524292,1,True,otm_W136456159,Fethiye Mosque / Museum,museum,0.4664,0.242,0.9167,0.8268,0.649,0.649,0.5951205974410448,2.0,3.0,"Fethiye Mosque / Museum is a less crowded alternative to Chora Mosque / Kariye Museum, with crowd pressure lower by 0.15, about 0.6 km from the anchor.",True,False,True,False,False
otm_N7294561685,Chora Mosque / Kariye Museum,museum,2026-03-08,Recent low week (2026-03-08),Low,0.37991035287199026,Medium,0.3077321052551269,1,True,otm_W136456159,Fethiye Mosque / Museum,museum,0.2803,0.2622,0.9167,0.8268,0.649,0.649,0.6978803532422999,2.0,3.0,"Fethiye Mosque / Museum is a less crowded alternative to Chora Mosque / Kariye Museum, with crowd pressure lower by 0.10, about 0.6 km from the anchor.",True,False,True,False,False
otm_N7294561685,Chora Mosque / Kariye Museum,museum,2026-04-19,Recent medium week (2026-04-19),Medium,0.4718485728503488,Medium,0.4251859188079834,1,True,otm_W136456159,Fethiye Mosque / Museum,museum,0.353,0.252,0.9167,0.8268,0.649,0.649,0.5995794969463287,2.0,3.0,"Fethiye Mosque / Museum is a less crowded alternative to Chora Mosque / Kariye Museum, with crowd pressure lower by 0.12, about 0.6 km from the anchor.",True,False,True,False,False
otm_W23236783,Galata Tower,attraction,2026-05-03,Latest modeled week (2026-05-03),High,0.7251877662989323,High,0.6084517240524292,5,True,otm_N6373080188,Nusretiye Clock Tower,attraction,0.4838,0.3328,0.875,0.8036,0.737,0.737,0.6167325564807913,1.0,1.0,"Nusretiye Clock Tower is a less crowded alternative to Galata Tower, with crowd pressure lower by 0.24, about 0.7 km from the anchor.",True,True,False,True,False
otm_W23236783,Galata Tower,attraction,2026-03-08,Recent low week (2026-03-08),Low,0.45341855061686437,Medium,0.3077321052551269,5,True,otm_N6373080188,Nusretiye Clock Tower,attraction,0.292,0.3561,0.875,0.8036,0.737,0.737,0.701470634530935,1.0,1.0,"Nusretiye Clock Tower is a less crowded alternative to Galata Tower, with crowd pressure lower by 0.16, about 0.7 km from the anchor.",True,False,True,False,False
otm_W23236783,Galata Tower,attraction,2026-04-19,Recent medium week (2026-04-19),Medium,0.5595650365554677,Medium,0.4251859188079834,5,True,otm_N6373080188,Nusretiye Clock Tower,attraction,0.3669,0.3443,0.875,0.8036,0.737,0.737,0.6219023872251636,1.0,1.0,"Nusretiye Clock Tower is a less crowded alternative to Galata Tower, with crowd pressure lower by 0.19, about 0.7 km from the anchor.",True,False,True,False,False
otm_N7215645385,The Blue Mosque,religious,2026-05-03,Latest modeled week (2026-05-03),High,0.6648400175454006,Medium,0.6084517240524292,5,True,otm_R4567928,Sokullu Mehmed Pasa Mosque,religious,0.3849,0.4211,0.875,0.8934,0.4,0.4,0.6744327327280952,1.0,1.0,"Sokullu Mehmed Pasa Mosque is a less crowded alternative to The Blue Mosque, with crowd pressure lower by 0.28, about 0.4 km from the anchor.",True,False,True,False,False
otm_N7215645385,The Blue Mosque,religious,2026-03-08,Recent low week (2026-03-08),Low,0.41304892435796525,Medium,0.3077321052551269,5,True,otm_R4567928,Sokullu Mehmed Pasa Mosque,religious,0.2258,0.4534,0.875,0.8934,0.4,0.4,0.7531331266202049,1.0,1.0,"Sokullu Mehmed Pasa Mosque is a less crowded alternative to The Blue Mosque, with crowd pressure lower by 0.19, about 0.4 km from the anchor.",True,False,True,False,False
otm_N7215645385,The Blue Mosque,religious,2026-04-19,Recent medium week (2026-04-19),Medium,0.5113924385981891,Medium,0.4251859188079834,5,True,otm_R4567928,Sokullu Mehmed Pasa Mosque,religious,0.2879,0.437,0.875,0.8934,0.4,0.4,0.6815903350062681,1.0,1.0,"Sokullu Mehmed Pasa Mosque is a less crowded alternative to The Blue Mosque, with crowd pressure lower by 0.22, about 0.4 km from the anchor.",True,False,True,False,False
