policy_id,policy_label,policy_description,anchor_poi_id,anchor_name,basis_week_start,basis_label,basis_level,anchor_crowd_signal,anchor_crowd_level,recommendation_count,top_alternative_poi_id,top_alternative_name,top3_alternative_poi_ids,top_alternative_score,top_crowd_relief,top_similarity,top_practicality,top_distance_to_anchor_km
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_R1555271,Hagia Sophia,2026-05-03,Latest modeled week (2026-05-03),High,0.8397536528904636,High,5,otm_R4742554,Hagia Irene,"[""otm_R4742554"", ""otm_W303179753"", ""otm_W103953125""]",0.6221695777193079,0.1928,0.9833,0.9563,0.164
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_R1555271,Hagia Sophia,2026-05-03,Latest modeled week (2026-05-03),High,0.8397536528904636,High,5,otm_R4742554,Hagia Irene,"[""otm_R4742554"", ""otm_W303179753"", ""otm_W103953125""]",0.504933872469199,0.1928,0.9833,0.9563,0.164
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_R1555271,Hagia Sophia,2026-05-03,Latest modeled week (2026-05-03),High,0.8397536528904636,High,5,otm_R4742554,Hagia Irene,"[""otm_R4742554"", ""otm_W303179753"", ""otm_W103953125""]",0.6221695777193079,0.1928,0.9833,0.9563,0.164
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_R1555271,Hagia Sophia,2026-05-03,Latest modeled week (2026-05-03),High,0.8397536528904636,High,5,otm_R4742554,Hagia Irene,"[""otm_R4742554"", ""otm_W303179753"", ""otm_W103953125""]",0.7380543344174597,0.1928,0.9833,0.9563,0.164
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_R1555271,Hagia Sophia,2026-03-08,Recent low week (2026-03-08),Low,0.5300573999401433,Medium,5,otm_R4742554,Hagia Irene,"[""otm_R4742554"", ""otm_W303179753"", ""otm_W103953125""]",0.742863141337664,0.2043,0.9833,0.9563,0.164
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_R1555271,Hagia Sophia,2026-03-08,Recent low week (2026-03-08),Low,0.5300573999401433,Medium,5,otm_R4742554,Hagia Irene,"[""otm_R4742554"", ""otm_W303179753"", ""otm_W103953125""]",0.5118495892056932,0.2043,0.9833,0.9563,0.164
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_R1555271,Hagia Sophia,2026-03-08,Recent low week (2026-03-08),Low,0.5300573999401433,Medium,5,otm_R4742554,Hagia Irene,"[""otm_R4742554"", ""otm_W303179753"", ""otm_W103953125""]",0.6273563652716785,0.2043,0.9833,0.9563,0.164
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_R1555271,Hagia Sophia,2026-03-08,Recent low week (2026-03-08),Low,0.5300573999401433,Medium,5,otm_R4742554,Hagia Irene,"[""otm_R4742554"", ""otm_W303179753"", ""otm_W103953125""]",0.7415121927857069,0.2043,0.9833,0.9563,0.164
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_R1555271,Hagia Sophia,2026-04-19,Recent medium week (2026-04-19),Medium,0.651017269793407,Medium,5,otm_R4742554,Hagia Irene,"[""otm_R4742554"", ""otm_W303179753"", ""otm_W103953125""]",0.6247432220562117,0.1985,0.9833,0.9563,0.164
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_R1555271,Hagia Sophia,2026-04-19,Recent medium week (2026-04-19),Medium,0.651017269793407,Medium,5,otm_R4742554,Hagia Irene,"[""otm_R4742554"", ""otm_W303179753"", ""otm_W103953125""]",0.5083653982517375,0.1985,0.9833,0.9563,0.164
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_R1555271,Hagia Sophia,2026-04-19,Recent medium week (2026-04-19),Medium,0.651017269793407,Medium,5,otm_R4742554,Hagia Irene,"[""otm_R4742554"", ""otm_W303179753"", ""otm_W103953125""]",0.6247432220562117,0.1985,0.9833,0.9563,0.164
