model,feature,coefficient,abs_coefficient
Ordinary Least Squares,(intercept),0.4345346166756579,0.4345346166756579
Ordinary Least Squares,num__trend_demand,0.08866971112142082,0.08866971112142082
Ordinary Least Squares,num__temp_avg,0.07500629136624822,0.07500629136624822
Ordinary Least Squares,num__precipitation,-0.02467824409773139,0.02467824409773139
Ordinary Least Squares,num__temp_max,1.2431510036704782e-16,1.2431510036704782e-16
Ordinary Least Squares,cat__season_spring_False,7.182693610874825e-17,7.182693610874825e-17
Ordinary Least Squares,cat__season_winter_False,5.2656448818467173e-17,5.2656448818467173e-17
Ordinary Least Squares,cat__season_spring,3.9195366353767395e-17,3.9195366353767395e-17
Ordinary Least Squares,cat__season_spring_True,2.878702549790655e-17,2.878702549790655e-17
Ordinary Least Squares,num__month,2.6414614424558792e-17,2.6414614424558792e-17
Ordinary Least Squares,cat__season_winter_True,2.5406107600489143e-17,2.5406107600489143e-17
Ordinary Least Squares,cat__season_winter,2.5406107600489143e-17,2.5406107600489143e-17
Ordinary Least Squares,cat__season_summer_True,1.3236279146715264e-17,1.3236279146715264e-17
Ordinary Least Squares,cat__season_summer,1.3236279146715264e-17,1.3236279146715264e-17
Ordinary Least Squares,num__is_holiday,1.307928137594723e-17,1.307928137594723e-17
Ordinary Least Squares,num__day_of_week,-1.235990476633475e-17,1.235990476633475e-17
Ordinary Least Squares,cat__season_autumn,1.1825766563579413e-17,1.1825766563579413e-17
Ordinary Least Squares,cat__season_summer_False,-1.1501555670738457e-17,1.1501555670738457e-17
Ordinary Least Squares,num__temp_min,5.053472940273485e-18,5.053472940273485e-18
Ordinary Least Squares,num__week_of_year,-2.330949110259739e-18,2.330949110259739e-18
Ridge (alpha=1.0),(intercept),0.434542361533484,0.434542361533484
Ridge (alpha=1.0),num__trend_demand,0.08819467302355967,0.08819467302355967
Ridge (alpha=1.0),num__temp_avg,0.03216377337258953,0.03216377337258953
Ridge (alpha=1.0),num__precipitation,-0.024332534277722324,0.024332534277722324
Ridge (alpha=1.0),num__temp_max,0.023361166763971205,0.023361166763971205
Ridge (alpha=1.0),num__temp_min,0.018913092220618346,0.018913092220618346
Ridge (alpha=1.0),cat__season_summer,0.0006336343037432721,0.0006336343037432721
Ridge (alpha=1.0),cat__season_summer_True,0.000633634303742319,0.000633634303742319
Ridge (alpha=1.0),cat__season_summer_False,-0.0006336343037423165,0.0006336343037423165
Ridge (alpha=1.0),cat__season_spring_False,0.0004055638312400147,0.0004055638312400147
Ridge (alpha=1.0),cat__season_spring_True,-0.00040556383124000885,0.00040556383124000885
Ridge (alpha=1.0),cat__season_spring,-0.0004055638312394302,0.0004055638312394302
Ridge (alpha=1.0),cat__season_winter_True,-0.0002125807568514132,0.0002125807568514132
Ridge (alpha=1.0),cat__season_winter_False,0.00021258075685141116,0.00021258075685141116
Ridge (alpha=1.0),cat__season_winter,-0.000212580756850748,0.000212580756850748
Ridge (alpha=1.0),num__is_holiday,0.00020068431428645306,0.00020068431428645306
Ridge (alpha=1.0),num__month,0.0001376721047174984,0.0001376721047174984
Ridge (alpha=1.0),cat__season_autumn,-1.548971565509073e-05,1.548971565509073e-05
Ridge (alpha=1.0),num__week_of_year,-7.761988798285732e-06,7.761988798285732e-06
Ridge (alpha=1.0),num__day_of_week,0.0,0.0
Lasso (alpha=0.0001),(intercept),0.43453461667565807,0.43453461667565807
Lasso (alpha=0.0001),num__trend_demand,0.08859960091299492,0.08859960091299492
Lasso (alpha=0.0001),num__temp_avg,0.07053813031839466,0.07053813031839466
Lasso (alpha=0.0001),num__precipitation,-0.02457271958651175,0.02457271958651175
Lasso (alpha=0.0001),num__temp_max,0.002408655684342905,0.002408655684342905
Lasso (alpha=0.0001),num__temp_min,0.002047049691644027,0.002047049691644027
Lasso (alpha=0.0001),cat__season_summer_True,0.0,0.0
Lasso (alpha=0.0001),cat__season_summer,0.0,0.0
Lasso (alpha=0.0001),cat__season_spring,-0.0,0.0
Lasso (alpha=0.0001),cat__season_autumn,-0.0,0.0
Lasso (alpha=0.0001),cat__season_winter_True,-0.0,0.0
Lasso (alpha=0.0001),cat__season_winter_False,0.0,0.0
Lasso (alpha=0.0001),cat__season_spring_False,0.0,0.0
Lasso (alpha=0.0001),cat__season_summer_False,-0.0,0.0
Lasso (alpha=0.0001),cat__season_spring_True,-0.0,0.0
Lasso (alpha=0.0001),num__day_of_week,0.0,0.0
Lasso (alpha=0.0001),num__is_holiday,0.0,0.0
Lasso (alpha=0.0001),num__week_of_year,0.0,0.0
Lasso (alpha=0.0001),num__month,0.0,0.0
Lasso (alpha=0.0001),cat__season_winter,-0.0,0.0
