query_name,lat,lon
Sultanahmet Core,41.0054,28.9768
Hagia Sophia / Basilica Cistern,41.008,28.9799
Topkapi Palace,41.0115,28.9833
Eminonu / Spice Bazaar,41.0165,28.9702
Suleymaniye,41.0162,28.9638
Fatih / Valens Aqueduct,41.017,28.9565
Galata Tower,41.0257,28.9744
Istiklal / Pera,41.0339,28.9779
Dolmabahce,41.0392,29.0007
Ortakoy,41.0473,29.026
Uskudar Waterfront,41.0258,29.0152
Maiden's Tower Coast,41.0211,29.0041
Kadikoy Historic Center,40.9909,29.0263
Balat / Fener,41.0297,28.9497
Beylerbeyi Palace,41.042,29.0405
Rumeli Hisari,41.0849,29.0568
Eyup / Pierre Loti,41.048,28.9327
Yildiz Palace,41.0438,29.0125
