xid,name,address,rate,osm,wikidata,kinds,url,sources,otm,wikipedia,image,preview,wikipedia_extracts,point,query_area,bbox
N7215645385,The Blue Mosque,"{'town': 'Fatih', 'house': 'Sultanahmet Camii', 'state': 'Marmara Bölgesi', 'suburb': 'Sultan Ahmet Mahallesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Atmeydanı Caddesi', 'country_code': 'tr', 'house_number': '7'}",3h,node/7215645385,Q80541,"religion,mosques,interesting_places",https://www.geziyerler.com/sultan-ahmet-camii;http://www.bluemosque.co/,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/N7215645385,https://en.wikipedia.org/wiki/Sultan%20Ahmed%20Mosque,https://commons.wikimedia.org/wiki/File:Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg/400px-Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg', 'height': 283, 'width': 400}","{'title': 'en:Sultan Ahmed Mosque', 'text': 'Sultan Ahmed Mosque (Turkish: Sultan Ahmet Camii), also known as the Blue Mosque, is an Ottoman-era historical imperial mosque located in Istanbul, Turkey. A functioning mosque, it also attracts large numbers of tourist visitors. It was constructed between 1609 and 1616 during the rule of Ahmed I. Its Külliye contains Ahmed\'s tomb, a madrasah and a hospice. Hand-painted blue tiles adorn the mosque’s interior walls, and at night the mosque is bathed in blue as lights frame the mosque’s five main domes, six minarets and eight secondary domes. It sits next to the Hagia Sophia, the principal mosque of Istanbul until the Blue Mosque\'s construction and another popular tourist site. The Blue Mosque was included in the UNESCO World Heritage Site list in 1985 under the name of ""Historic Areas of Istanbul"".', 'html': '<p><b>Sultan Ahmed Mosque</b> (Turkish: <i lang=""tr"">Sultan Ahmet Camii</i>), also known as the <b>Blue Mosque</b>, is an Ottoman-era historical imperial mosque located in Istanbul, Turkey. A functioning mosque, it also attracts large numbers of tourist visitors. It was constructed between 1609 and 1616 during the rule of Ahmed I. Its Külliye contains Ahmed\'s tomb, a madrasah and a hospice. Hand-painted blue tiles adorn the mosque’s interior walls, and at night the mosque is bathed in blue as lights frame the mosque’s five main domes, six minarets and eight secondary domes. It sits next to the Hagia Sophia, the principal mosque of Istanbul until the Blue Mosque\'s construction and another popular tourist site. The Blue Mosque was included in the UNESCO World Heritage Site list in 1985 under the name of ""Historic Areas of Istanbul"".</p>'}","{'lon': 28.976892471313477, 'lat': 41.005252838134766}",Sultanahmet Core,
R1564032,Süleymaniye Mosque,"{'city': 'Süleymaniye Mahallesi', 'road': 'Prof. Sıddık Sami Onar Caddesi', 'town': 'Fatih', 'house': 'Süleymaniye Camii', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34116', 'country_code': 'tr', 'house_number': '1'}",3h,relation/1564032,Q178643,"religion,mosques,interesting_places",https://www.geziyerler.com/suleymaniye-camii,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/R1564032,https://en.wikipedia.org/wiki/S%C3%BCleymaniye%20Mosque,https://commons.wikimedia.org/wiki/File:Istanbul_asv2020-02_img49_S%C3%BCleymaniye_Mosque.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Istanbul_asv2020-02_img49_S%C3%BCleymaniye_Mosque.jpg/400px-Istanbul_asv2020-02_img49_S%C3%BCleymaniye_Mosque.jpg', 'height': 250, 'width': 400}","{'title': 'en:Süleymaniye Mosque', 'text': 'The Süleymaniye Mosque (Turkish: Süleymaniye Camii, pronounced [sylejˈmaːnije]) is an Ottoman imperial mosque located on the Third Hill of Istanbul, Turkey. The mosque was commissioned by Suleiman the Magnificent and designed by the imperial architect Mimar Sinan. An inscription specifies the foundation date as 1550 and the inauguration date as 1557. Behind the qibla wall of the mosque is an enclosure containing the separate octagonal mausoleums of Suleiman the Magnificent and that of his wife Hurrem Sultan (Roxelana). For 462 years, the Süleymaniye Mosque was the largest mosque in the city, until it was surpassed by the Çamlıca Mosque in 2019. The Süleymaniye Mosque is one of the best-known sights of Istanbul, and from its location on the Third Hill, it commands an extensive view of the city around the Golden Horn.', 'html': '<p>The <b>Süleymaniye Mosque</b> (Turkish: <i lang=""tr"">Süleymaniye Camii</i>, <small>pronounced&nbsp;</small><span title=""Representation in the International Phonetic Alphabet (IPA)"">[sylejˈmaːnije]</span>) is an Ottoman imperial mosque located on the Third Hill of Istanbul, Turkey. The mosque was commissioned by Suleiman the Magnificent and designed by the imperial architect Mimar Sinan. An inscription specifies the foundation date as 1550 and the inauguration date as 1557. Behind the <i>qibla</i> wall of the mosque is an enclosure containing the separate octagonal mausoleums of Suleiman the Magnificent and that of his wife Hurrem Sultan (Roxelana). For 462 years, the Süleymaniye Mosque was the largest mosque in the city, until it was surpassed by the Çamlıca Mosque in 2019. The Süleymaniye Mosque is one of the best-known sights of Istanbul, and from its location on the Third Hill, it commands an extensive view of the city around the Golden Horn.</p>'}","{'lon': 28.963977813720703, 'lat': 41.016300201416016}",Suleymaniye,"{'lon_min': 28.963088, 'lon_max': 28.964576, 'lat_min': 41.015651, 'lat_max': 41.016824}"
Q5773394,Historic Areas of Istanbul,"{'city': 'Cankurtaran Mahallesi', 'town': 'Fatih', 'house': 'Ayasofya Müzesi', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Ayasofya Meydanı', 'country_code': 'tr', 'house_number': '1', 'neighbourhood': 'Cankurtaran'}",3h,,Q5773394,"interesting_places,natural,nature_reserves,other_nature_conservation_areas",,"{'geometry': 'wikidata', 'attributes': ['wikidata']}",https://opentripmap.com/en/card/Q5773394,https://en.wikipedia.org/wiki/Historic%20Areas%20of%20Istanbul,https://commons.wikimedia.org/wiki/File:Istanbul2010.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Istanbul2010.jpg/400px-Istanbul2010.jpg', 'height': 300, 'width': 400}","{'title': 'en:Historic Areas of Istanbul', 'text': ""The Historic Areas of Istanbul are a group of sites in the capital district of Fatih in the city of Istanbul, Turkey. These areas were added to the UNESCO World Heritage List in 1985.This World Heritage Site includes buildings and structures such as the Sarayburnu, the Topkapı Palace, the Hagia Sophia, the Sultan Ahmed Mosque, the Hagia Irene, Zeyrek Mosque, Süleymaniye Mosque, Little Hagia Sophia and the Walls of Constantinople.The World Heritage site covers four zones, illustrating the major phases of the city's history using its most prestigious monuments:"", 'html': ""<p>The <b>Historic Areas of Istanbul</b> are a group of sites in the capital district of Fatih in the city of Istanbul, Turkey. These areas were added to the UNESCO World Heritage List in 1985.</p><p>This World Heritage Site includes buildings and structures such as the Sarayburnu, the Topkapı Palace, the Hagia Sophia, the Sultan Ahmed Mosque, the Hagia Irene, Zeyrek Mosque, Süleymaniye Mosque, Little Hagia Sophia and the Walls of Constantinople.</p><p>The World Heritage site covers four zones, illustrating the major phases of the city's history using its most prestigious monuments:</p>""}","{'lon': 28.979930877685547, 'lat': 41.00846862792969}",Hagia Sophia / Basilica Cistern,
R1555271,Hagia Sophia Grand Mosque,"{'city': 'Cankurtaran Mahallesi', 'road': 'Bab-I Hümayun Caddesi', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34122', 'country_code': 'tr', 'neighbourhood': 'Cankurtaran'}",3h,relation/1555271,Q12506,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,catholic_churches",https://muze.gen.tr/muze-detay/ayasofya;https://www.geziyerler.com/ayasofya-muzesi,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/R1555271,https://en.wikipedia.org/wiki/Hagia%20Sophia,https://commons.wikimedia.org/wiki/File:Hagia_Sophia_Mars_2013.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/400px-Hagia_Sophia_Mars_2013.jpg', 'height': 267, 'width': 400}","{'title': 'en:Hagia Sophia', 'text': ""Hagia Sophia (Turkish: Ayasofya; Koinē Greek: Ἁγία Σοφία, romanized: Hagía Sophía; Latin: Sancta Sophia, lit.\u2009'Holy Wisdom'), officially the Holy Hagia Sophia Grand Mosque (Turkish: Ayasofya-i Kebir Cami-i Şerifi), and formerly the Church of Hagia Sophia (Turkish: Ayasofya Kilisesi; Greek: Ναός της Αγίας του Θεού Σοφίας, romanized: Naós tis Ayías tou Theoú Sofías; Latin: Ecclesia Sanctae Sophiae), is a Late Antique place of worship in Istanbul, designed by the Greek geometers Isidore of Miletus and Anthemius of Tralles. Built in 537 as the patriarchal cathedral of the imperial capital of Constantinople, it was the largest Christian church of the eastern Roman Empire (the Byzantine Empire) and the Eastern Orthodox Church, except during the Latin Empire from 1204 to 1261, when it became the city's Latin Catholic cathedral. In 1453, after the Fall of Constantinople to the Ottoman Empire, it was converted into a mosque. In 1935, under the direction of Mustafa Kemal Atatürk, the secular Republic of Turkey established it as a museum. In 2020, under the direction of Recep Tayyip Erdoğan, it re-opened as a mosque."", 'html': '<p><b>Hagia Sophia</b> (Turkish: <i lang=""tr"">Ayasofya</i>; Koinē Greek: <span lang=""grc"">Ἁγία Σοφία</span>, <small>romanized:&nbsp;</small><i lang=""grc-x-koine-Latn"" title=""Koinē Greek-language romanization"">Hagía Sophía</i>; Latin: <i lang=""la"">Sancta Sophia</i>, <small>lit.\u2009</small>\'Holy Wisdom\'), officially the <b>Holy Hagia Sophia Grand Mosque</b> (Turkish: <i lang=""tr"">Ayasofya-i Kebir Cami-i Şerifi</i>), and formerly the <b>Church of Hagia Sophia</b> (Turkish: <i lang=""tr"">Ayasofya Kilisesi</i>; Greek: <span lang=""el"">Ναός της Αγίας του Θεού Σοφίας</span>, <small>romanized:&nbsp;</small><i lang=""el-Latn"" title=""Greek-language romanization"">Naós tis Ayías tou Theoú Sofías</i>; Latin: <i lang=""la"">Ecclesia Sanctae Sophiae</i>), is a Late Antique place of worship in Istanbul, designed by the Greek geometers Isidore of Miletus and Anthemius of Tralles. Built in 537 as the patriarchal cathedral of the imperial capital of Constantinople, it was the largest Christian church of the eastern Roman Empire (the Byzantine Empire) and the Eastern Orthodox Church, except during the Latin Empire from 1204 to 1261, when it became the city\'s Latin Catholic cathedral. In 1453, after the Fall of Constantinople to the Ottoman Empire, it was converted into a mosque. In 1935, under the direction of Mustafa Kemal Atatürk, the secular Republic of Turkey established it as a museum. In 2020, under the direction of Recep Tayyip Erdoğan, it re-opened as a mosque.</p>'}","{'lon': 28.980009078979492, 'lat': 41.008506774902344}",Hagia Sophia / Basilica Cistern,"{'lon_min': 28.978778, 'lon_max': 28.980948, 'lat_min': 41.007648, 'lat_max': 41.009279}"
W109862851,The Hagia Sophia Grand Mosque,"{'city': 'İstanbul', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'suburb': 'Eminönü', 'country': 'Türkiye', 'postcode': '34122', 'country_code': 'tr'}",3h,way/109862851,Q12506,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,catholic_churches",https://muze.gen.tr/muze-detay/ayasofya;https://muze.gen.tr/,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/W109862851,https://en.wikipedia.org/wiki/Hagia%20Sophia,https://commons.wikimedia.org/wiki/File:Hagia_Sophia_Mars_2013.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/400px-Hagia_Sophia_Mars_2013.jpg', 'height': 267, 'width': 400}","{'title': 'en:Hagia Sophia', 'text': ""Hagia Sophia (Turkish: Ayasofya; Koinē Greek: Ἁγία Σοφία, romanized: Hagía Sophía; Latin: Sancta Sophia, lit.\u2009'Holy Wisdom'), officially the Holy Hagia Sophia Grand Mosque (Turkish: Ayasofya-i Kebir Cami-i Şerifi), and formerly the Church of Hagia Sophia (Turkish: Ayasofya Kilisesi; Greek: Ναός της Αγίας του Θεού Σοφίας, romanized: Naós tis Ayías tou Theoú Sofías; Latin: Ecclesia Sanctae Sophiae), is a Late Antique place of worship in Istanbul, designed by the Greek geometers Isidore of Miletus and Anthemius of Tralles. Built in 537 as the patriarchal cathedral of the imperial capital of Constantinople, it was the largest Christian church of the eastern Roman Empire (the Byzantine Empire) and the Eastern Orthodox Church, except during the Latin Empire from 1204 to 1261, when it became the city's Latin Catholic cathedral. In 1453, after the Fall of Constantinople to the Ottoman Empire, it was converted into a mosque. In 1935, under the direction of Mustafa Kemal Atatürk, the secular Republic of Turkey established it as a museum. In 2020, under the direction of Recep Tayyip Erdoğan, it re-opened as a mosque."", 'html': '<p><b>Hagia Sophia</b> (Turkish: <i lang=""tr"">Ayasofya</i>; Koinē Greek: <span lang=""grc"">Ἁγία Σοφία</span>, <small>romanized:&nbsp;</small><i lang=""grc-x-koine-Latn"" title=""Koinē Greek-language romanization"">Hagía Sophía</i>; Latin: <i lang=""la"">Sancta Sophia</i>, <small>lit.\u2009</small>\'Holy Wisdom\'), officially the <b>Holy Hagia Sophia Grand Mosque</b> (Turkish: <i lang=""tr"">Ayasofya-i Kebir Cami-i Şerifi</i>), and formerly the <b>Church of Hagia Sophia</b> (Turkish: <i lang=""tr"">Ayasofya Kilisesi</i>; Greek: <span lang=""el"">Ναός της Αγίας του Θεού Σοφίας</span>, <small>romanized:&nbsp;</small><i lang=""el-Latn"" title=""Greek-language romanization"">Naós tis Ayías tou Theoú Sofías</i>; Latin: <i lang=""la"">Ecclesia Sanctae Sophiae</i>), is a Late Antique place of worship in Istanbul, designed by the Greek geometers Isidore of Miletus and Anthemius of Tralles. Built in 537 as the patriarchal cathedral of the imperial capital of Constantinople, it was the largest Christian church of the eastern Roman Empire (the Byzantine Empire) and the Eastern Orthodox Church, except during the Latin Empire from 1204 to 1261, when it became the city\'s Latin Catholic cathedral. In 1453, after the Fall of Constantinople to the Ottoman Empire, it was converted into a mosque. In 1935, under the direction of Mustafa Kemal Atatürk, the secular Republic of Turkey established it as a museum. In 2020, under the direction of Recep Tayyip Erdoğan, it re-opened as a mosque.</p>'}","{'lon': 28.980009078979492, 'lat': 41.008506774902344}",Hagia Sophia / Basilica Cistern,"{'lon_min': 28.979078, 'lon_max': 28.980917, 'lat_min': 41.007836, 'lat_max': 41.009183}"
Q2656937,Runic inscriptions in Hagia Sophia,"{'city': 'Cankurtaran Mahallesi', 'road': 'Caferiye Sokağı', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34122', 'country_code': 'tr', 'neighbourhood': 'Cankurtaran'}",3h,,Q2656937,"other,unclassified_objects,interesting_places,historic_object",,"{'geometry': 'wikidata', 'attributes': ['wikidata']}",https://opentripmap.com/en/card/Q2656937,https://en.wikipedia.org/wiki/Runic%20inscriptions%20in%20Hagia%20Sophia,https://commons.wikimedia.org/wiki/File:Hagia-sofia-viking.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Hagia-sofia-viking.jpg/400px-Hagia-sofia-viking.jpg', 'height': 300, 'width': 400}","{'title': 'en:Runic inscriptions in Hagia Sophia', 'text': 'There are at least two runic inscriptions in Hagia Sophia\'s marble parapets. They may have been engraved by members of the Varangian Guard in Constantinople in the Viking Age.The first runic inscription was discovered in 1964 on a parapet on the top floor of the southern gallery, and the discovery was published by Elisabeth Svärdström in ""Runorna i Hagia Sofia"", Fornvännen 65 (1970), 247-49. The inscription is worn down so nowadays only -ftan, which is the Norse name Halfdan, is legible. The remainder of the inscription is considered to be illegible, but it is possible that it followed the common formula ""NN carved these runes"".', 'html': '<p>There are at least two runic inscriptions in Hagia Sophia\'s marble parapets. They may have been engraved by members of the Varangian Guard in Constantinople in the Viking Age.</p><p>The first runic inscription was discovered in 1964 on a parapet on the top floor of the southern gallery, and the discovery was published by Elisabeth Svärdström in ""Runorna i Hagia Sofia"", <i>Fornvännen</i> 65 (1970), 247-49. The inscription is worn down so nowadays only <i>-ftan</i>, which is the Norse name <i>Halfdan</i>, is legible. The remainder of the inscription is considered to be illegible, but it is possible that it followed the common formula ""NN carved these runes"".</p>'}","{'lon': 28.97909927368164, 'lat': 41.00870132446289}",Hagia Sophia / Basilica Cistern,
N415157636,Serpent Column,"{'city': 'Binbirdirek Mahallesi', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Sultanahmet Meydanı', 'country_code': 'tr'}",3h,node/415157636,Q588892,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/N415157636,https://en.wikipedia.org/wiki/Serpent%20Column,https://commons.wikimedia.org/wiki/File:Snake_column_Hippodrome_Constantinople_2007.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Snake_column_Hippodrome_Constantinople_2007.jpg/199px-Snake_column_Hippodrome_Constantinople_2007.jpg', 'height': 400, 'width': 199}","{'title': 'en:Serpent Column', 'text': 'The Serpent Column (Ancient Greek: Τρικάρηνος Ὄφις Τrikarenos Οphis ""Three-headed Serpent""; Turkish: Yılanlı Sütun ""Serpentine Column""), also known as the Serpentine Column, Plataean Tripod or Delphi Tripod, is an ancient bronze column at the Hippodrome of Constantinople (known as Atmeydanı ""Horse Square"" in the Ottoman period) in what is now Istanbul, Turkey. It is part of an ancient Greek sacrificial tripod, originally in Delphi and relocated to Constantinople by Constantine the Great in 324. It was built to commemorate the Greeks who fought and defeated the Persian Empire at the Battle of Plataea (479 BC). The serpent heads of the 8-metre (26 ft) high column remained intact until the end of the 17th century (one is on display at the nearby Istanbul Archaeology Museums).', 'html': '<p>The <b>Serpent Column</b> (Ancient Greek: <span lang=""grc"">Τρικάρηνος Ὄφις</span> <i>Τrikarenos Οphis</i> ""Three-headed Serpent""; Turkish: <i lang=""tr"">Yılanlı Sütun</i> ""Serpentine Column""), also known as the <b>Serpentine Column</b>, <b>Plataean Tripod</b> or <b>Delphi Tripod</b>, is an ancient bronze column at the Hippodrome of Constantinople (known as <i>Atmeydanı</i> ""Horse Square"" in the Ottoman period) in what is now Istanbul, Turkey. It is part of an ancient Greek sacrificial tripod, originally in Delphi and relocated to Constantinople by Constantine the Great in 324. It was built to commemorate the Greeks who fought and defeated the Persian Empire at the Battle of Plataea (479 BC). The serpent heads of the 8-metre (26&nbsp;ft) high column remained intact until the end of the 17th century (one is on display at the nearby Istanbul Archaeology Museums).</p>'}","{'lon': 28.9751033782959, 'lat': 41.00566101074219}",Sultanahmet Core,
W103953125,Tomb of Sultan Ahmet,"{'town': 'Fatih', 'state': 'Marmara Bölgesi', 'suburb': 'Sultan Ahmet Mahallesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Atmeydanı Caddesi', 'country_code': 'tr'}",3h,way/103953125,Q80541,"religion,mosques,interesting_places",http://www.bluemosque.co/,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/W103953125,https://en.wikipedia.org/wiki/Sultan%20Ahmed%20Mosque,https://commons.wikimedia.org/wiki/File:Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg/400px-Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg', 'height': 283, 'width': 400}","{'title': 'en:Sultan Ahmed Mosque', 'text': 'Sultan Ahmed Mosque (Turkish: Sultan Ahmet Camii), also known as the Blue Mosque, is an Ottoman-era historical imperial mosque located in Istanbul, Turkey. A functioning mosque, it also attracts large numbers of tourist visitors. It was constructed between 1609 and 1616 during the rule of Ahmed I. Its Külliye contains Ahmed\'s tomb, a madrasah and a hospice. Hand-painted blue tiles adorn the mosque’s interior walls, and at night the mosque is bathed in blue as lights frame the mosque’s five main domes, six minarets and eight secondary domes. It sits next to the Hagia Sophia, the principal mosque of Istanbul until the Blue Mosque\'s construction and another popular tourist site. The Blue Mosque was included in the UNESCO World Heritage Site list in 1985 under the name of ""Historic Areas of Istanbul"".', 'html': '<p><b>Sultan Ahmed Mosque</b> (Turkish: <i lang=""tr"">Sultan Ahmet Camii</i>), also known as the <b>Blue Mosque</b>, is an Ottoman-era historical imperial mosque located in Istanbul, Turkey. A functioning mosque, it also attracts large numbers of tourist visitors. It was constructed between 1609 and 1616 during the rule of Ahmed I. Its Külliye contains Ahmed\'s tomb, a madrasah and a hospice. Hand-painted blue tiles adorn the mosque’s interior walls, and at night the mosque is bathed in blue as lights frame the mosque’s five main domes, six minarets and eight secondary domes. It sits next to the Hagia Sophia, the principal mosque of Istanbul until the Blue Mosque\'s construction and another popular tourist site. The Blue Mosque was included in the UNESCO World Heritage Site list in 1985 under the name of ""Historic Areas of Istanbul"".</p>'}","{'lon': 28.97703742980957, 'lat': 41.00679016113281}",Sultanahmet Core,"{'lon_min': 28.976633, 'lon_max': 28.977364, 'lat_min': 41.006468, 'lat_max': 41.007119}"
W326372295,Yıldız Palace,"{'city': 'Yıldız Mahallesi', 'road': 'Serencebey Yokuşu', 'town': 'Beşiktaş', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34349', 'country_code': 'tr'}",3h,way/326372295,Q911734,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums",https://muze.gen.tr/,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/W326372295,https://en.wikipedia.org/wiki/Y%C4%B1ld%C4%B1z%20Palace,https://commons.wikimedia.org/wiki/File:%C4%B0stanbul_5716.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/%C4%B0stanbul_5716.jpg/400px-%C4%B0stanbul_5716.jpg', 'height': 300, 'width': 400}","{'title': 'en:Yıldız Palace', 'text': 'Yıldız Palace (Turkish: Yıldız Sarayı, IPA: [jɯɫˈdɯz saɾaˈjɯ]) is a vast complex of former imperial Ottoman pavilions and villas in Istanbul, Turkey, built in the 19th and early 20th centuries. It was used as a residence by the Sultan and his court in the late 19th century.Yıldız Palace, meaning ""Star Palace"", was built in 1880 and was used by the Ottoman Sultan Abdülhamid II. The area of the palace was originally made of natural woodlands and became an imperial estate during the reign of Sultan Ahmed I (1603-1617). Various sultans after Ahmed I enjoyed vacationing on these lands and Sultans Abdülmecid I and Abdülaziz built mansions here.', 'html': '<p><b>Yıldız Palace</b> (Turkish: <i lang=""tr"">Yıldız Sarayı</i>, <small>IPA:&nbsp;</small><span title=""Representation in the International Phonetic Alphabet (IPA)"">[jɯɫˈdɯz saɾaˈjɯ]</span>) is a vast complex of former imperial Ottoman pavilions and villas in Istanbul, Turkey, built in the 19th and early 20th centuries. It was used as a residence by the Sultan and his court in the late 19th century.</p><p>Yıldız Palace, meaning ""Star Palace"", was built in 1880 and was used by the Ottoman Sultan Abdülhamid II. The area of the palace was originally made of natural woodlands and became an imperial estate during the reign of Sultan Ahmed I (1603-1617). Various sultans after Ahmed I enjoyed vacationing on these lands and Sultans Abdülmecid I and Abdülaziz built mansions here.</p>'}","{'lon': 29.01161766052246, 'lat': 41.05007553100586}",Yildiz Palace,"{'lon_min': 29.01144, 'lon_max': 29.011737, 'lat_min': 41.049685, 'lat_max': 41.050305}"
N4477143891,Yıldız Palace,"{'city': 'Yıldız Mahallesi', 'town': 'Beşiktaş', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34349', 'country_code': 'tr'}",3h,node/4477143891,Q911734,"palaces,architecture,historic_architecture,interesting_places",https://muze.gen.tr/,"{'geometry': 'osm', 'attributes': ['osm', 'wikidata']}",https://opentripmap.com/en/card/N4477143891,https://en.wikipedia.org/wiki/Y%C4%B1ld%C4%B1z%20Palace,https://commons.wikimedia.org/wiki/File:%C4%B0stanbul_5716.jpg,"{'source': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/%C4%B0stanbul_5716.jpg/400px-%C4%B0stanbul_5716.jpg', 'height': 300, 'width': 400}","{'title': 'en:Yıldız Palace', 'text': 'Yıldız Palace (Turkish: Yıldız Sarayı, IPA: [jɯɫˈdɯz saɾaˈjɯ]) is a vast complex of former imperial Ottoman pavilions and villas in Istanbul, Turkey, built in the 19th and early 20th centuries. It was used as a residence by the Sultan and his court in the late 19th century.Yıldız Palace, meaning ""Star Palace"", was built in 1880 and was used by the Ottoman Sultan Abdülhamid II. The area of the palace was originally made of natural woodlands and became an imperial estate during the reign of Sultan Ahmed I (1603-1617). Various sultans after Ahmed I enjoyed vacationing on these lands and Sultans Abdülmecid I and Abdülaziz built mansions here.', 'html': '<p><b>Yıldız Palace</b> (Turkish: <i lang=""tr"">Yıldız Sarayı</i>, <small>IPA:&nbsp;</small><span title=""Representation in the International Phonetic Alphabet (IPA)"">[jɯɫˈdɯz saɾaˈjɯ]</span>) is a vast complex of former imperial Ottoman pavilions and villas in Istanbul, Turkey, built in the 19th and early 20th centuries. It was used as a residence by the Sultan and his court in the late 19th century.</p><p>Yıldız Palace, meaning ""Star Palace"", was built in 1880 and was used by the Ottoman Sultan Abdülhamid II. The area of the palace was originally made of natural woodlands and became an imperial estate during the reign of Sultan Ahmed I (1603-1617). Various sultans after Ahmed I enjoyed vacationing on these lands and Sultans Abdülmecid I and Abdülaziz built mansions here.</p>'}","{'lon': 29.011703491210938, 'lat': 41.05071258544922}",Yildiz Palace,
