xid,name,dist,rate,osm,wikidata,kinds,point,query_area
N7215645385,The Blue Mosque,217.12017491,7,node/7215645385,Q80541,"religion,mosques,interesting_places","{'lon': 28.976892471313477, 'lat': 41.005252838134766}","Sultanahmet, Istanbul"
W103953125,Tomb of Sultan Ahmet,347.91874159,7,way/103953125,Q80541,"religion,mosques,interesting_places","{'lon': 28.97703742980957, 'lat': 41.00679016113281}","Sultanahmet, Istanbul"
N415157636,Serpent Column,366.30884134,7,node/415157636,Q588892,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments","{'lon': 28.9751033782959, 'lat': 41.00566101074219}","Sultanahmet, Istanbul"
N1768294290,Great Palace Mosaic Museum,121.65627121,3,node/1768294290,Q2719230,"national_museums,cultural,museums,interesting_places","{'lon': 28.977449417114258, 'lat': 41.004268646240234}","Sultanahmet, Istanbul"
N3236233297,Column of Marcian,185.40791931,3,node/3236233297,Q285236,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments","{'lon': 28.950284957885742, 'lat': 41.01544189453125}","Eminonu, Istanbul"
Q3082387,Church of the Virgin of the Pharos,247.67705108,3,,Q3082387,"religion,churches,interesting_places,other_churches","{'lon': 28.977222442626953, 'lat': 41.00583267211914}","Sultanahmet, Istanbul"
N4988111427,Ruins of Bucoleon Palace,277.19899968,3,node/4988111427,Q1003322,"palaces,architecture,historic_architecture,interesting_places","{'lon': 28.976146697998047, 'lat': 41.002532958984375}","Sultanahmet, Istanbul"
N4977947521,Church of St. Polyeuktos,280.90087067,3,node/4977947521,Q1578614,"religion,architecture,historic_architecture,fortifications,historic,churches,interesting_places,destroyed_objects,castles,other_churches","{'lon': 28.952959060668945, 'lat': 41.01423263549805}","Eminonu, Istanbul"
Q475338,Great Palace of Constantinople,283.10149394,3,,Q475338,"palaces,architecture,historic_architecture,interesting_places,destroyed_objects","{'lon': 28.9777774810791, 'lat': 41.00638961791992}","Sultanahmet, Istanbul"
N3254460381,Aviation Martyrs' Monument,352.43560269,3,node/3254460381,Q1447350,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments","{'lon': 28.952634811401367, 'lat': 41.016075134277344}","Eminonu, Istanbul"
N415157637,Obelisk of Theodosius,361.98525104,3,node/415157637,Q763854,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments","{'lon': 28.975379943847656, 'lat': 41.00590896606445}","Sultanahmet, Istanbul"
Q3561109,Manastır Mosque,373.14021352,3,,Q3561109,"religion,churches,mosques,interesting_places,other_churches","{'lon': 28.92876625061035, 'lat': 41.017051696777344}","Beyoglu, Istanbul"
N415156590,The Walled Obelisk,373.65330267,3,node/415156590,Q742474,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments","{'lon': 28.97481918334961, 'lat': 41.00539779663086}","Sultanahmet, Istanbul"
W316903986,Muratpasa Camii,395.29796559,3,way/316903986,Q60785191,"religion,mosques,interesting_places","{'lon': 28.94892120361328, 'lat': 41.01032638549805}","Eminonu, Istanbul"
R7318631,Kara Ahmet Pasha Mosque,419.75119626,3,relation/7318631,Q1572049,"religion,mosques,interesting_places","{'lon': 28.928791046142578, 'lat': 41.021240234375}","Beyoglu, Istanbul"
R8120955,Turk and Islamic Art Museum,428.4036219,3,relation/8120955,Q525939,"national_museums,cultural,museums,interesting_places","{'lon': 28.974912643432617, 'lat': 41.00642395019531}","Sultanahmet, Istanbul"
N5100825082,Kara Ahmet Pasha Mosque,430.31142329,3,node/5100825082,Q1572049,"religion,mosques,interesting_places","{'lon': 28.92906379699707, 'lat': 41.02113342285156}","Beyoglu, Istanbul"
N5113500256,Museum of Turkish and Islamic arts,431.62621326,3,node/5113500256,Q525939,"national_museums,cultural,museums,interesting_places","{'lon': 28.974658966064453, 'lat': 41.006221771240234}","Sultanahmet, Istanbul"
N5108843107,Milion Stone,453.15242739,3,node/5108843107,Q1187329,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments","{'lon': 28.977874755859375, 'lat': 41.00798416137695}","Sultanahmet, Istanbul"
N1908677124,Milion,460.55491473,3,node/1908677124,Q1187329,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments","{'lon': 28.977983474731445, 'lat': 41.00806427001953}","Sultanahmet, Istanbul"
W132277802,Firuz Ağa Mosque,484.22491982,3,way/132277802,Q2565317,"religion,mosques,interesting_places","{'lon': 28.976177215576172, 'lat': 41.007835388183594}","Sultanahmet, Istanbul"
W316903985,Pertevniyal Valide Sultan Mosque,503.94920711,3,way/316903985,Q2719785,"religion,mosques,interesting_places","{'lon': 28.952899932861328, 'lat': 41.0100212097168}","Eminonu, Istanbul"
N5081274335,Pertevniyal Valide Sultan Mosque,504.62956265,3,node/5081274335,Q2719785,"religion,mosques,interesting_places","{'lon': 28.952903747558594, 'lat': 41.01001739501953}","Eminonu, Istanbul"
W329095050,Fenari Isa Mosque,509.32276398,3,way/329095050,Q2424612,"religion,mosques,churches,interesting_places,other_churches","{'lon': 28.94382667541504, 'lat': 41.01506805419922}","Eminonu, Istanbul"
