poi_id,osm_name,osm_name_en,osm_category,osm_importance_score,otm_xid,otm_name,otm_kinds,otm_bucket,otm_query_area,otm_wikidata,distance_km,token_overlap_score,category_match,distance_score,combined_score
18055570,Sultanahmet Camii,Blue Mosque,attraction,0.8079814929979688,N7215645385,The Blue Mosque,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.026608564631329427,1.0,1,0.923975529624773,0.9771926588874319
23276526,Bozdoğan Su Kemeri,Valens Aqueduct,attraction,0.6148585514520465,W23276526,Valens Aqueduct,"bridges,architecture,interesting_places,aqueducts",historic,"Eminonu, Istanbul",Q952924,0.012201256304955733,1.0,0,0.9651392677001265,0.8895417803100378
25512790,Sultanahmet Meydanı,Sultan Ahmed Square,attraction,0.7760674446106873,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.08789446639312942,0.25,1,0.7488729531624874,0.47466188594874614
103953125,Sultan Ahmet Türbesi,Tomb of Sultan Ahmed I,attraction,0.8358979261397337,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.00436670561736717,1.0,1,0.9875236982360938,0.996257109470828
103953128,Sultan Ahmet Medresesi,Sultan Ahmed Madrasah,historic,0.7956527541776205,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.030167091685724196,0.6666666666666666,0,0.9138083094693594,0.6741424928408077
109836394,Sultan III. Mehmet Türbesi,Mausoleum of Sultan Mehmed III,historic,0.8003294918903925,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.2642023359320022,0.25,0,0.24513618305142226,0.2235408549154267
109836395,Sultan III. Murad Türbesi,Mausoleum of Sultan Murad III,historic,0.8041543523982415,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.2371950547409514,0.25,0,0.3222998435972817,0.2466899530791845
109874498,Alman Çeşmesi,German Fountain,attraction,0.7910746890319853,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.04707149294971791,0.0,1,0.8655100201436631,0.3596530060430989
329089871,Aziz Mahmud Hüdayi Vakfı Gazanfer Ağa Medresesi Eğitim ve Kültür Merkezi,,museum,0.6359016753628577,W329089871,Aziz Mahmud Hudayi Vakfi Gazanfer Ağa Medresesi Egitim ve Kultur Merkezi,"cultural,museums,interesting_places,other_museums",museum,"Eminonu, Istanbul",Q31189333,0.000711475106947534,0.8181818181818182,1,0.9979672139801499,0.8902992551031358
415157636,Yılanlı Sütun,Serpent Column,attraction,0.7682667963065052,N415157636,Serpent Column,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q588892,0.000710748441239269,1.0,0,0.9979692901678878,0.8993907870503663
499944929,III. Mustafa Türbesi,Mausoleum Sultan Mustafa Pasha III and his son Sultan Selim III,historic,0.6358621482212943,N5081274335,Pertevniyal Valide Sultan Mosque,"religion,mosques,interesting_places",attraction,"Eminonu, Istanbul",Q2719785,0.2598409701429544,0.1111111111111111,0,0.25759722816298747,0.14394583511556291
499944929,III. Mustafa Türbesi,Mausoleum Sultan Mustafa Pasha III and his son Sultan Selim III,historic,0.6358621482212943,W316903985,Pertevniyal Valide Sultan Mosque,"religion,mosques,interesting_places",attraction,"Eminonu, Istanbul",Q2719785,0.26020772988041585,0.1111111111111111,0,0.25654934319881184,0.1436314696263102
508953834,Adnan Menderes Anıt Mezarı,,historic,0.5807090371351811,W508953834,Mausoleum of Adnan Menderes,"historic,monuments_and_memorials,burial_places,interesting_places,mausoleums,monuments",historic,"Beyoglu, Istanbul",Q6022064,0.00033326411722187495,0.6666666666666666,1,0.9990478168079375,0.7997143450423813
709381141,Sultan II. Selim Türbesi,Mausoleum of Sultan Selim II,historic,0.8004027259690221,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.25770398011355544,0.3333333333333333,0,0.2637029139612701,0.279110874188381
1120852417,Theodosius Dikilitaşı,Obelisk of Theodosius,historic,0.787757479192329,N415157637,Obelisk of Theodosius,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q763854,0.0026746672340701026,1.0,1,0.9923580936169426,0.9977074280850827
1120852417,Theodosius Dikilitaşı,Obelisk of Theodosius,historic,0.787757479192329,N415156590,The Walled Obelisk,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q742474,0.0764640889833783,0.3333333333333333,1,0.7815311743332048,0.5344593522999614
1120852417,Theodosius Dikilitaşı,Obelisk of Theodosius,historic,0.787757479192329,N415157636,Serpent Column,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q588892,0.03871269570340073,0.0,1,0.8893922979902836,0.36681768939708503
1120852418,Örme Dikilitaş,The Walled Obelisk,historic,0.7727815775079241,N415156590,The Walled Obelisk,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q742474,0.0020995183926353716,1.0,1,0.9940013760210418,0.9982004128063126
1120852418,Örme Dikilitaş,The Walled Obelisk,historic,0.7727815775079241,N415157637,Obelisk of Theodosius,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q763854,0.07193017786413129,0.3333333333333333,1,0.7944852061024821,0.5383455618307446
1120852418,Örme Dikilitaş,The Walled Obelisk,historic,0.7727815775079241,N415157636,Serpent Column,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q588892,0.03590863607283135,0.0,1,0.8974038969347675,0.36922116908043023
1153966162,Büyük Saray Mozaikleri Müzesi,Great Palace Mosaic Museum,museum,0.8442127747511758,N1768294290,Great Palace Mosaic Museum,"national_museums,cultural,museums,interesting_places",museum,"Sultanahmet, Istanbul",Q2719230,0.0032079193928571128,1.0,1,0.9908345160204083,0.9972503548061225
1184851395,Bukoleon Sarayı Kalıntıları,Bucoleon Palace Ruins,historic,0.7364798790603897,N4988111427,Ruins of Bucoleon Palace,"palaces,architecture,historic_architecture,interesting_places",historic,"Sultanahmet, Istanbul",Q1003322,0.009958056746937477,1.0,1,0.9715484092944644,0.9914645227883393
1377906859,Üçler Mescidi,,historic,0.7727022688342846,N415156590,The Walled Obelisk,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q742474,0.043401277561228954,0.0,1,0.8759963498250601,0.362798904947518
1908677124,Milyon Taşı,Milion,historic,0.7962789879589164,N1908677124,Milion,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments",historic,"Sultanahmet, Istanbul",Q1187329,0.0029261641801363253,1.0,1,0.9916395309138962,0.9974918592741688
1908677124,Milyon Taşı,Milion,historic,0.7962789879589164,N5108843107,Milion Stone,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments",historic,"Sultanahmet, Istanbul",Q1187329,0.015176955593191224,1.0,1,0.9566372697337393,0.9869911809201217
3236233297,Kıztaşı,Column of Marcian,historic,0.6145500233129555,N3236233297,Column of Marcian,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",historic,"Eminonu, Istanbul",Q285236,9.331100537398952e-05,1.0,1,0.9997333971275029,0.9999200191382508
