poi_id_a,display_name_en_a,query_area_a,poi_id_b,display_name_en_b,query_area_b,category_clean_a,category_clean_b,distance_m,name_norm_a,name_norm_b,sequence_ratio,token_jaccard,same_category,duplicate_match_reason
otm_Q2155032,Siege of Constantinople,Topkapi Palace,otm_Q2742323,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2155032,Siege of Constantinople,Topkapi Palace,otm_Q700886,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2155032,Siege of Constantinople,Topkapi Palace,otm_Q312268,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2155032,Siege of Constantinople,Topkapi Palace,otm_Q1750892,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2155032,Siege of Constantinople,Topkapi Palace,otm_Q3485862,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2155032,Siege of Constantinople,Topkapi Palace,otm_Q3181408,Siege of Constantinople,Eminonu / Spice Bazaar,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2155032,Siege of Constantinople,Topkapi Palace,otm_Q767844,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2742323,Siege of Constantinople,Topkapi Palace,otm_Q700886,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2742323,Siege of Constantinople,Topkapi Palace,otm_Q312268,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2742323,Siege of Constantinople,Topkapi Palace,otm_Q1750892,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2742323,Siege of Constantinople,Topkapi Palace,otm_Q3485862,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2742323,Siege of Constantinople,Topkapi Palace,otm_Q3181408,Siege of Constantinople,Eminonu / Spice Bazaar,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q2742323,Siege of Constantinople,Topkapi Palace,otm_Q767844,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q312268,Siege of Constantinople,Topkapi Palace,otm_Q700886,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q312268,Siege of Constantinople,Topkapi Palace,otm_Q1750892,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q312268,Siege of Constantinople,Topkapi Palace,otm_Q3485862,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q312268,Siege of Constantinople,Topkapi Palace,otm_Q3181408,Siege of Constantinople,Eminonu / Spice Bazaar,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q312268,Siege of Constantinople,Topkapi Palace,otm_Q767844,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q767844,Siege of Constantinople,Topkapi Palace,otm_Q700886,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q767844,Siege of Constantinople,Topkapi Palace,otm_Q1750892,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q767844,Siege of Constantinople,Topkapi Palace,otm_Q3485862,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q767844,Siege of Constantinople,Topkapi Palace,otm_Q3181408,Siege of Constantinople,Eminonu / Spice Bazaar,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q1750892,Siege of Constantinople,Topkapi Palace,otm_Q700886,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q1750892,Siege of Constantinople,Topkapi Palace,otm_Q3485862,Siege of Constantinople,Topkapi Palace,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
otm_Q1750892,Siege of Constantinople,Topkapi Palace,otm_Q3181408,Siege of Constantinople,Eminonu / Spice Bazaar,historic,historic,0.0,siege of constantinople,siege of constantinople,1.0,1.0,1,within_0m;high_token_overlap;high_name_similarity_same_category
