xid,name,query_area,wikidata,wikipedia_url,candidate_count_same_key,kinds,review_decision,canonical_name,notes
N7215645385,The Blue Mosque,Sultanahmet Core,Q80541,https://en.wikipedia.org/wiki/Sultan%20Ahmed%20Mosque,2,"religion,mosques,interesting_places",,,
R1555271,Hagia Sophia Grand Mosque,Hagia Sophia / Basilica Cistern,Q12506,https://en.wikipedia.org/wiki/Hagia%20Sophia,2,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,catholic_churches",,,
W109862851,The Hagia Sophia Grand Mosque,Hagia Sophia / Basilica Cistern,Q12506,https://en.wikipedia.org/wiki/Hagia%20Sophia,2,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,catholic_churches",,,
W103953125,Tomb of Sultan Ahmet,Sultanahmet Core,Q80541,https://en.wikipedia.org/wiki/Sultan%20Ahmed%20Mosque,2,"religion,mosques,interesting_places",,,
W326372295,Yıldız Palace,Yildiz Palace,Q911734,https://en.wikipedia.org/wiki/Y%C4%B1ld%C4%B1z%20Palace,2,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums",,,
N4477143891,Yıldız Palace,Yildiz Palace,Q911734,https://en.wikipedia.org/wiki/Y%C4%B1ld%C4%B1z%20Palace,2,"palaces,architecture,historic_architecture,interesting_places",,,
N7294561685,Chora Mosque,Balat / Fener,Q849489,https://en.wikipedia.org/wiki/Chora%20Church,2,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,other_churches",,,
W32395058,Kariye Museum,Balat / Fener,Q849489,https://en.wikipedia.org/wiki/Chora%20Church,2,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,other_churches",,,
R7318154,Rumeli Fortress,Rumeli Hisari,Q90801,https://en.wikipedia.org/wiki/Rumelihisar%C4%B1,2,"fortifications,historic,cultural,museums,interesting_places,castles,history_museums",,,
W102190099,Osman ağa Mosque,Kadikoy Historic Center,Q6029146,https://tr.wikipedia.org/wiki/Osmana%C4%9Fa%20Camii,2,"religion,mosques,interesting_places",,,
N6919989286,Ortaköy Mosque,Ortakoy,Q176380,https://en.wikipedia.org/wiki/Ortak%C3%B6y%20Mosque,2,"religion,mosques,interesting_places",,,
N269370709,Rumelihisarı,Rumeli Hisari,Q90801,https://en.wikipedia.org/wiki/Rumelihisar%C4%B1,2,"fortifications,historic,interesting_places,castles",,,
W498861735,Ortaköy Mosque,Ortakoy,Q176380,,2,"religion,mosques,interesting_places",,,
W600269984,Eyüp Sultan Mosque,Eyup / Pierre Loti,Q956677,,2,"religion,mosques,interesting_places",,,
W261821356,Eyüp Sultan Mosque,Eyup / Pierre Loti,Q956677,,2,"religion,mosques,interesting_places",,,
W61736367,Beylerbeyi Palace,Beylerbeyi Palace,Q794349,,2,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums",,,
W24826707,Dolmabahçe Palace,Dolmabahce,Q274141,,3,"gardens_and_parks,cultural,urban_environment,interesting_places",,,
W175516451,Dolmabahce Palace,Dolmabahce,Q274141,,3,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums",,,
N1964555485,Beylerbeyi Palace,Beylerbeyi Palace,Q794349,,2,"palaces,architecture,historic_architecture,interesting_places",,,
W263949137,Dolmabahçe Palace,Dolmabahce,Q274141,,3,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums",,,
W822870615,New Mosque Square,Eminonu / Spice Bazaar,Q911720,,2,"religion,mosques,interesting_places",,,
W333931123,Mihrimah Sultan Camii,Uskudar Waterfront,Q2537376,,4,"religion,mosques,interesting_places",,,
W333931122,Mihrimah Sultan Camii,Uskudar Waterfront,Q2537376,,4,"religion,mosques,interesting_places",,,
W333931124,Mihrimah Sultan Camii,Uskudar Waterfront,Q2537376,,4,"religion,mosques,interesting_places",,,
W319020883,Istanbul Archaeological Museum,Topkapi Palace,Q636978,,2,"national_museums,archaeological_museums,cultural,museums,interesting_places,history_museums",,,
N1908677124,Milion,Hagia Sophia / Basilica Cistern,Q1187329,,2,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments",,,
R7574356,New Mosque,Eminonu / Spice Bazaar,Q911720,,2,"religion,mosques,interesting_places",,,
N5108843107,Milion Stone,Hagia Sophia / Basilica Cistern,Q1187329,,2,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments",,,
W180546853,Basilica Cistern,Hagia Sophia / Basilica Cistern,Q216511,,2,"palaces,architecture,historic_architecture,historic,archaeology,interesting_places,other_archaeological_sites",,,
R9534796,Mihrimah Sultan Mosque,Uskudar Waterfront,Q2537376,,4,"religion,mosques,interesting_places",,,
R12097039,Istanbul Archaeology Museums,Topkapi Palace,Q636978,,2,"national_museums,archaeological_museums,cultural,museums,interesting_places,history_museums",,,
R8120955,Turk and Islamic Art Museum,Sultanahmet Core,Q525939,,2,"national_museums,cultural,museums,interesting_places",,,
