poi_id,otm_xid,name,display_name_en,kinds,category_clean,wikidata,wikipedia_url,lat,lon,query_area,dist_from_query_center_m,rate,address_raw,preview_image,source,needs_review,candidate_count_same_key,wiki_title,wiki_match_method,wiki_match_score,wiki_has_page,wiki_pageviews_total,wiki_pageviews_avg,wiki_pageviews_max,wiki_days_observed,wiki_popularity_score,wiki_review_decision,wiki_identity_valid,wiki_pageview_available,wiki_review_notes,wiki_title_original,text_combined_raw,text_combined_norm,name_norm,is_mosque,is_church,is_synagogue,is_cathedral,is_palace,is_museum,is_monument,is_cemetery,is_fortress,is_tower,is_hamam,is_bridge,is_tekke_or_dergah,is_tomb,is_fountain,is_gate,subtype_flag_count,has_possible_duplicate,possible_duplicate_group,possible_duplicate_count,exclude_from_part_b,exclude_from_recommendation,exclusion_reason,exclusion_scope,family_iconic_landmark,family_religious_monumental,family_museum_cultural,family_viewpoint_scenic,family_palatial_imperial,family_neighborhood_heritage
otm_N7294561685,N7294561685,Chora Mosque / Kariye Museum,Chora Mosque / Kariye Museum,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,other_churches",museum,Q849489,https://en.wikipedia.org/wiki/Chora%20Church,41.031097412109375,28.93909072875977,Balat / Fener,905.67963045,7,"{'city': 'Derviş Ali Mahallesi', 'road': 'Kariye Cami Sokak', 'town': 'Fatih', 'house': 'Kariye Müzesi', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34087', 'country_code': 'tr', 'house_number': '18'}",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/KariyeCamii-Aussenansicht.jpg/293px-KariyeCamii-Aussenansicht.jpg,opentripmap,0,2,Chora Church,from_url,1.0,1,20025.0,54.863013698630134,230.0,365,0.0123820612530213,,1,1,,Chora Church,"Chora Mosque / Kariye Museum Chora Mosque / Kariye Museum religion,mosques,churches,cultural,museums,interesting_places,other_museums,other_churches museum Chora Church","chora mosque kariye museum chora mosque kariye museum religion,mosques,churches,cultural,museums,interesting places,other museums,other churches museum chora church",chora kariye,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,,,1,1,1,0,0,0
otm_R1555271,R1555271,Hagia Sophia,Hagia Sophia,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,catholic_churches",museum,Q12506,https://en.wikipedia.org/wiki/Hagia%20Sophia,41.008506774902344,28.980009078979492,Hagia Sophia / Basilica Cistern,57.237152,7,"{'city': 'Cankurtaran Mahallesi', 'road': 'Bab-I Hümayun Caddesi', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34122', 'country_code': 'tr', 'neighbourhood': 'Cankurtaran'}",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/400px-Hagia_Sophia_Mars_2013.jpg,opentripmap,0,2,Hagia Sophia,from_url,1.0,1,1300243.0,3562.309589041096,9331.0,365,0.8039794491791358,,1,1,,Hagia Sophia,"Hagia Sophia Hagia Sophia religion,mosques,churches,cultural,museums,interesting_places,other_museums,catholic_churches museum Hagia Sophia","hagia sophia hagia sophia religion,mosques,churches,cultural,museums,interesting places,other museums,catholic churches museum hagia sophia",hagia sophia,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,,,1,1,1,0,0,0
otm_N415157636,N415157636,Serpent Column,Serpent Column,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",historic,Q588892,https://en.wikipedia.org/wiki/Serpent%20Column,41.00566101074219,28.9751033782959,Sultanahmet Core,145.71910027,7,"{'city': 'Binbirdirek Mahallesi', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Sultanahmet Meydanı', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Snake_column_Hippodrome_Constantinople_2007.jpg/199px-Snake_column_Hippodrome_Constantinople_2007.jpg,opentripmap,0,1,Serpent Column,from_url,1.0,1,38432.0,105.2931506849315,432.0,365,0.0237636643234015,,1,1,,Serpent Column,"Serpent Column Serpent Column historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments historic Serpent Column","serpent column serpent column historic,monuments and memorials,burial places,urban environment,cultural,interesting places,other burial places,sculptures,monuments historic serpent column",serpent column,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,,0,0,0,,,1,0,0,0,0,1
otm_R1564032,R1564032,Süleymaniye Mosque,Süleymaniye Mosque,"religion,mosques,interesting_places",religious,Q178643,https://en.wikipedia.org/wiki/S%C3%BCleymaniye%20Mosque,41.016300201416016,28.963977813720703,Suleymaniye,18.64409212,7,"{'city': 'Süleymaniye Mahallesi', 'road': 'Prof. Sıddık Sami Onar Caddesi', 'town': 'Fatih', 'house': 'Süleymaniye Camii', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34116', 'country_code': 'tr', 'house_number': '1'}",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Istanbul_asv2020-02_img49_S%C3%BCleymaniye_Mosque.jpg/400px-Istanbul_asv2020-02_img49_S%C3%BCleymaniye_Mosque.jpg,opentripmap,0,1,Süleymaniye Mosque,from_url,1.0,1,138681.0,379.9479452054794,651.0,365,0.0857506435271035,,1,1,,Süleymaniye Mosque,"Süleymaniye Mosque Süleymaniye Mosque religion,mosques,interesting_places religious Süleymaniye Mosque","suleymaniye mosque suleymaniye mosque religion,mosques,interesting places religious suleymaniye mosque",suleymaniye,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,,,1,1,0,0,0,0
otm_N7215645385,N7215645385,The Blue Mosque,The Blue Mosque,"religion,mosques,interesting_places",religious,Q80541,https://en.wikipedia.org/wiki/Sultan%20Ahmed%20Mosque,41.005252838134766,28.976892471313477,Sultanahmet Core,18.13616229,7,"{'town': 'Fatih', 'house': 'Sultanahmet Camii', 'state': 'Marmara Bölgesi', 'suburb': 'Sultan Ahmet Mahallesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Atmeydanı Caddesi', 'country_code': 'tr', 'house_number': '7'}",https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg/400px-Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg,opentripmap,0,2,Sultan Ahmed Mosque,from_url,1.0,1,50304.0,137.81917808219177,277.0,365,0.0311044798637695,,1,1,,Sultan Ahmed Mosque,"The Blue Mosque The Blue Mosque religion,mosques,interesting_places religious Sultan Ahmed Mosque","the blue mosque the blue mosque religion,mosques,interesting places religious sultan ahmed mosque",the blue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,,,1,1,0,0,0,0
otm_W103953125,W103953125,Tomb of Sultan Ahmet,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",religious,Q80541,https://en.wikipedia.org/wiki/Sultan%20Ahmed%20Mosque,41.00679016113281,28.97703742980957,Sultanahmet Core,155.64108709,7,"{'town': 'Fatih', 'state': 'Marmara Bölgesi', 'suburb': 'Sultan Ahmet Mahallesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Atmeydanı Caddesi', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg/400px-Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg,opentripmap,0,2,Sultan Ahmed Mosque,from_url,1.0,1,50304.0,137.81917808219177,277.0,365,0.0311044798637695,,1,1,,Sultan Ahmed Mosque,"Tomb of Sultan Ahmet Tomb of Sultan Ahmet religion,mosques,interesting_places religious Sultan Ahmed Mosque","tomb of sultan ahmet tomb of sultan ahmet religion,mosques,interesting places religious sultan ahmed mosque",of sultan ahmet,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,,0,0,0,,,1,1,0,0,0,1
otm_W326372295,W326372295,Yıldız Palace,Yıldız Palace,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums",museum,Q911734,https://en.wikipedia.org/wiki/Y%C4%B1ld%C4%B1z%20Palace,41.05007553100586,29.01161766052246,Yildiz Palace,700.92397167,7,"{'city': 'Yıldız Mahallesi', 'road': 'Serencebey Yokuşu', 'town': 'Beşiktaş', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34349', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/%C4%B0stanbul_5716.jpg/400px-%C4%B0stanbul_5716.jpg,opentripmap,0,2,Yıldız Palace,from_url,1.0,1,39930.0,109.3972602739726,289.0,365,0.0246899228880469,,1,1,,Yıldız Palace,"Yıldız Palace Yıldız Palace palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums museum Yıldız Palace","yildiz palace yildiz palace palaces,architecture,historic architecture,cultural,museums,interesting places,other museums museum yildiz palace",yildiz,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,0,,,1,0,1,0,1,0
otm_N6879165718,N6879165718,15 July coup monument (Istanbul),15 July coup monument (Istanbul),"historic,monuments_and_memorials,interesting_places,monuments",historic,Q108404641,,41.036991119384766,29.042274475097656,Beylerbeyi Palace,576.06670347,3,,,opentripmap,0,1,,,0.0,0,0.0,0.0,0.0,0,0.0,drop_wiki,0,0,incorrect Wikipedia match; keep POI but remove direct wiki linkage,Timeline of Istanbul,"15 July coup monument (Istanbul) 15 July coup monument (Istanbul) historic,monuments_and_memorials,interesting_places,monuments historic ","15 july coup monument istanbul 15 july coup monument istanbul historic,monuments and memorials,interesting places,monuments historic",15 july coup istanbul,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,0,1,1,low_signal_monument,Weak tourism-signal monument excluded for current project scope,0,0,0,0,0,1
otm_N3580821812,N3580821812,Adam Mickiewicz Museum,Adam Mickiewicz Museum,"biographical_museums,historic_house_museums,cultural,museums,interesting_places,history_museums",museum,Q4679495,,41.038780212402344,28.977148056030273,Istiklal / Pera,545.861319,3,,,opentripmap,0,2,Adam Mickiewicz Museum,search,1.0,1,68.0,0.2833333333333333,4.0,240,4.204645019752557e-05,,1,1,,Adam Mickiewicz Museum,"Adam Mickiewicz Museum Adam Mickiewicz Museum biographical_museums,historic_house_museums,cultural,museums,interesting_places,history_museums museum Adam Mickiewicz Museum","adam mickiewicz museum adam mickiewicz museum biographical museums,historic house museums,cultural,museums,interesting places,history museums museum adam mickiewicz museum",adam mickiewicz,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,,,0,0,1,0,0,0
otm_W109980654,W109980654,Ahi Çelebi Mosque,Ahi Çelebi Mosque,"religion,mosques,interesting_places",religious,Q6957244,,41.01894760131836,28.968408584594727,Eminonu / Spice Bazaar,310.86133448,3,,,opentripmap,0,1,Ahi Çelebi,search,0.6666666666666666,1,839.0,2.3971428571428572,14.0,350,0.0005187789958194,,1,1,,Ahi Çelebi,"Ahi Çelebi Mosque Ahi Çelebi Mosque religion,mosques,interesting_places religious Ahi Çelebi","ahi celebi mosque ahi celebi mosque religion,mosques,interesting places religious ahi celebi",ahi celebi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,,,0,1,0,0,0,0
otm_Q15961666,Q15961666,Ahmet Hamdi Tanpınar Literature Museum Library,Ahmet Hamdi Tanpınar Literature Museum Library,"museums,cultural,interesting_places,other_museums",museum,Q15961666,,41.01097869873047,28.978269577026367,Hagia Sophia / Basilica Cistern,358.22360813,3,,,opentripmap,0,1,Ahmet Hamdi Tanpınar Literature Museum Library,search,1.0,1,1073.0,2.9397260273972603,18.0,365,0.0006634682509109,,1,1,,Ahmet Hamdi Tanpınar Literature Museum Library,"Ahmet Hamdi Tanpınar Literature Museum Library Ahmet Hamdi Tanpınar Literature Museum Library museums,cultural,interesting_places,other_museums museum Ahmet Hamdi Tanpınar Literature Museum Library","ahmet hamdi tanpinar literature museum library ahmet hamdi tanpinar literature museum library museums,cultural,interesting places,other museums museum ahmet hamdi tanpinar literature museum library",ahmet hamdi tanpinar literature library,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,,,0,0,1,0,0,0
otm_W733808427,W733808427,Ahmet Çelebi Mosque,Ahmet Çelebi Mosque,"religion,mosques,interesting_places",religious,Q6047829,,41.021724700927734,29.013490676879883,Uskudar Waterfront,474.94358115,3,,,opentripmap,0,1,,,0.0,0,0.0,0.0,0.0,0,0.0,drop_wiki,0,0,incorrect cross-match to a different mosque; keep POI but remove wiki linkage,Ahi Çelebi,"Ahmet Çelebi Mosque Ahmet Çelebi Mosque religion,mosques,interesting_places religious ","ahmet celebi mosque ahmet celebi mosque religion,mosques,interesting places religious",ahmet celebi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,,,0,1,0,0,0,0
otm_W235271665,W235271665,All Saints Moda English Church,All Saints Moda English Church,"religion,churches,interesting_places,other_churches",religious,Q20476315,,40.982086181640625,29.025239944458008,Kadikoy Historic Center,982.95499876,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0,,0,0,,,"All Saints Moda English Church All Saints Moda English Church religion,churches,interesting_places,other_churches religious ","all saints moda english church all saints moda english church religion,churches,interesting places,other churches religious",all saints moda english,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,,,0,1,0,0,0,0
