poi_id,otm_xid,name,display_name_en,kinds,category_clean,wikidata,wikipedia_url,lat,lon,query_area,dist_from_query_center_m,rate,address_raw,preview_image,source,needs_review,candidate_count_same_key,wiki_title,wiki_match_method,wiki_match_score,wiki_has_page,wiki_pageviews_total,wiki_pageviews_avg,wiki_pageviews_max,wiki_days_observed,wiki_popularity_score,display_name_model,drop_reason,model_keep
otm_Q6063427,Q6063427,Abbas Ağa Fountain,Abbas Ağa Fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q6063427,,41.02181243896485,29.018138885498047,Uskudar Waterfront,507.25903334,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0,Abbas Ağa Fountain,generic_fountain,False
otm_N4763681623,N4763681623,Alfred Heilbronn Botanical Garden,Alfred Heilbronn Botanical Garden,"urban_environment,gardens_and_parks,cultural,interesting_places",attraction,Q55594541,,41.018314361572266,28.963871002197266,Suleymaniye,234.73247257,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0,Alfred Heilbronn Botanical Garden,botanical_garden,False
otm_Q751820,Q751820,BJK İnönü Stadium,BJK İnönü Stadium,"sport,architecture,historic_architecture,interesting_places,destroyed_objects,stadiums",historic,Q751820,,41.039207458496094,28.994741439819336,Dolmabahce,501.00871296,3,,,opentripmap,0,1,BJK İnönü Stadium,search,1.0,1,15547.0,42.59452054794521,179.0,365,0.0096131788414842,BJK İnönü Stadium,stadium,False
otm_W24826707,W24826707,Dolmabahçe Palace,Dolmabahçe Palace,"gardens_and_parks,cultural,urban_environment,interesting_places",attraction,Q274141,,41.038963317871094,28.99953842163086,Dolmabahce,101.15102693,3,,,opentripmap,0,3,Dolmabahçe Palace,search,1.0,1,175035.0,479.54794520547944,2165.0,365,0.1082294177988806,Dolmabahçe Palace,parks_and_gardens,False
otm_W25542618,W25542618,Gülhane Park,Gülhane Park,"urban_environment,gardens_and_parks,cultural,interesting_places",attraction,Q1560106,,41.01302719116211,28.98090171813965,Topkapi Palace,263.44756515,3,,,opentripmap,0,1,Gülhane Park,search,1.0,1,12125.0,33.21917808219178,80.0,365,0.0074972530683087,Gülhane Park,park,False
otm_Q105758760,Q105758760,Hasan Rıza Pasha Fountain,Hasan Rıza Pasha Fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q105758760,,40.98951721191406,29.027828216552734,Kadikoy Historic Center,200.38806755,3,,,opentripmap,0,1,Hızırbey Mosque Fountain,search,0.2,1,61.0,0.9682539682539684,8.0,63,3.771813914778029e-05,Hasan Rıza Pasha Fountain,generic_fountain,False
otm_R4473230,R4473230,Istanbul Taksim Square,Istanbul Taksim Square,"squares,interesting_places,cultural,urban_environment",attraction,Q736072,,41.03795623779297,28.98520278930664,Dolmabahce,1310.35402417,3,,,opentripmap,0,1,Taksim Square,search,0.6666666666666666,1,53637.0,146.95068493150686,341.0,365,0.0331653742535982,Istanbul Taksim Square,square,False
otm_R8018249,R8018249,Maçka Park,Maçka Park,"urban_environment,gardens_and_parks,cultural,interesting_places",attraction,Q6098591,,41.044410705566406,28.993274688720703,Dolmabahce,851.28259849,3,,,opentripmap,0,1,Maçka Park,search,1.0,1,2445.0,6.698630136986301,28.0,365,0.001511817216661,Maçka Park,park,False
otm_Q105840441,Q105840441,Mısırlı Osman Ağa Fountain,Mısırlı Osman Ağa Fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q105840441,https://tr.wikipedia.org/wiki/M%C4%B1s%C4%B1rl%C4%B1%20Osman%20A%C4%9Fa%20%C3%87e%C5%9Fmesi%20%28Kad%C4%B1k%C3%B6y%29,40.99107360839844,29.026735305786133,Kadikoy Historic Center,41.4796303,3,"{'city': 'Osmanağa Mahallesi', 'road': 'Söğütlüçeşme Caddesi', 'town': 'Kadıköy', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34714', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/M%C4%B1s%C4%B1rl%C4%B1_Osman_A%C4%9Fa_%C3%87e%C5%9Fmesi%2C_Kad%C4%B1k%C3%B6y-2.jpg/400px-M%C4%B1s%C4%B1rl%C4%B1_Osman_A%C4%9Fa_%C3%87e%C5%9Fmesi%2C_Kad%C4%B1k%C3%B6y-2.jpg,opentripmap,0,1,Mısırlı Osman Ağa Çeşmesi (Kadıköy),from_url,1.0,1,0.0,0.0,0.0,0,0.0,Mısırlı Osman Ağa Fountain,generic_fountain,False
otm_Q20473668,Q20473668,Nevşehirli Damat İbrahim Paşa Fountain,Nevşehirli Damat İbrahim Paşa Fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q20473668,,41.02438735961914,29.012451171875,Uskudar Waterfront,279.36067346,3,,,opentripmap,0,1,Nevşehirli Damat Ibrahim Pasha,search,0.4285714285714285,1,5732.0,15.704109589041096,51.0,365,0.0035442684195914,Nevşehirli Damat İbrahim Paşa Fountain,generic_fountain,False
