poi_id,otm_xid,name,display_name_en,kinds,category_clean,wikidata,wikipedia_url,lat,lon,query_area,dist_from_query_center_m,rate,address_raw,preview_image,source,needs_review,candidate_count_same_key,wiki_title,wiki_match_method,wiki_match_score,wiki_has_page,wiki_pageviews_total,wiki_pageviews_avg,wiki_pageviews_max,wiki_days_observed,wiki_popularity_score
otm_N7294561685,N7294561685,Chora Mosque / Kariye Museum,Chora Mosque / Kariye Museum,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,other_churches",museum,Q849489,https://en.wikipedia.org/wiki/Chora%20Church,41.031097412109375,28.93909072875977,Balat / Fener,905.67963045,7,"{'city': 'Derviş Ali Mahallesi', 'road': 'Kariye Cami Sokak', 'town': 'Fatih', 'house': 'Kariye Müzesi', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34087', 'country_code': 'tr', 'house_number': '18'}",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/KariyeCamii-Aussenansicht.jpg/293px-KariyeCamii-Aussenansicht.jpg,opentripmap,0,2,Chora Church,from_url,1.0,1,20025.0,54.863013698630134,230.0,365,0.012382061253021315
otm_R1555271,R1555271,Hagia Sophia,Hagia Sophia,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,catholic_churches",museum,Q12506,https://en.wikipedia.org/wiki/Hagia%20Sophia,41.008506774902344,28.980009078979492,Hagia Sophia / Basilica Cistern,57.237152,7,"{'city': 'Cankurtaran Mahallesi', 'road': 'Bab-I Hümayun Caddesi', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34122', 'country_code': 'tr', 'neighbourhood': 'Cankurtaran'}",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/400px-Hagia_Sophia_Mars_2013.jpg,opentripmap,0,2,Hagia Sophia,from_url,1.0,1,1300243.0,3562.309589041096,9331.0,365,0.8039794491791358
otm_N415157636,N415157636,Serpent Column,Serpent Column,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",historic,Q588892,https://en.wikipedia.org/wiki/Serpent%20Column,41.00566101074219,28.9751033782959,Sultanahmet Core,145.71910027,7,"{'city': 'Binbirdirek Mahallesi', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Sultanahmet Meydanı', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Snake_column_Hippodrome_Constantinople_2007.jpg/199px-Snake_column_Hippodrome_Constantinople_2007.jpg,opentripmap,0,1,Serpent Column,from_url,1.0,1,38432.0,105.2931506849315,432.0,365,0.023763664323401507
otm_R1564032,R1564032,Süleymaniye Mosque,Süleymaniye Mosque,"religion,mosques,interesting_places",religious,Q178643,https://en.wikipedia.org/wiki/S%C3%BCleymaniye%20Mosque,41.016300201416016,28.963977813720703,Suleymaniye,18.64409212,7,"{'city': 'Süleymaniye Mahallesi', 'road': 'Prof. Sıddık Sami Onar Caddesi', 'town': 'Fatih', 'house': 'Süleymaniye Camii', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34116', 'country_code': 'tr', 'house_number': '1'}",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Istanbul_asv2020-02_img49_S%C3%BCleymaniye_Mosque.jpg/400px-Istanbul_asv2020-02_img49_S%C3%BCleymaniye_Mosque.jpg,opentripmap,0,1,Süleymaniye Mosque,from_url,1.0,1,138681.0,379.94794520547947,651.0,365,0.08575064352710357
otm_N7215645385,N7215645385,The Blue Mosque,The Blue Mosque,"religion,mosques,interesting_places",religious,Q80541,https://en.wikipedia.org/wiki/Sultan%20Ahmed%20Mosque,41.005252838134766,28.976892471313477,Sultanahmet Core,18.13616229,7,"{'town': 'Fatih', 'house': 'Sultanahmet Camii', 'state': 'Marmara Bölgesi', 'suburb': 'Sultan Ahmet Mahallesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Atmeydanı Caddesi', 'country_code': 'tr', 'house_number': '7'}",https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg/400px-Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg,opentripmap,0,2,Sultan Ahmed Mosque,from_url,1.0,1,50304.0,137.81917808219177,277.0,365,0.0311044798637695
otm_W103953125,W103953125,Tomb of Sultan Ahmet,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",religious,Q80541,https://en.wikipedia.org/wiki/Sultan%20Ahmed%20Mosque,41.00679016113281,28.97703742980957,Sultanahmet Core,155.64108709,7,"{'town': 'Fatih', 'state': 'Marmara Bölgesi', 'suburb': 'Sultan Ahmet Mahallesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Atmeydanı Caddesi', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg/400px-Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg,opentripmap,0,2,Sultan Ahmed Mosque,from_url,1.0,1,50304.0,137.81917808219177,277.0,365,0.0311044798637695
otm_W326372295,W326372295,Yıldız Palace,Yıldız Palace,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums",museum,Q911734,https://en.wikipedia.org/wiki/Y%C4%B1ld%C4%B1z%20Palace,41.05007553100586,29.01161766052246,Yildiz Palace,700.92397167,7,"{'city': 'Yıldız Mahallesi', 'road': 'Serencebey Yokuşu', 'town': 'Beşiktaş', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34349', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/%C4%B0stanbul_5716.jpg/400px-%C4%B0stanbul_5716.jpg,opentripmap,0,2,Yıldız Palace,from_url,1.0,1,39930.0,109.3972602739726,289.0,365,0.024689922888046997
otm_N6879165718,N6879165718,15 July coup monument (Istanbul),15 July coup monument (Istanbul),"historic,monuments_and_memorials,interesting_places,monuments",historic,Q108404641,,41.036991119384766,29.042274475097656,Beylerbeyi Palace,576.06670347,3,,,opentripmap,0,1,Timeline of Istanbul,search,0.2,1,4959.0,13.586301369863014,42.0,365,0.0030662992136695484
otm_Q6063427,Q6063427,Abbas Ağa Fountain,Abbas Ağa Fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q6063427,,41.02181243896485,29.018138885498047,Uskudar Waterfront,507.25903334,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0
otm_N3580821812,N3580821812,Adam Mickiewicz Museum,Adam Mickiewicz Museum,"biographical_museums,historic_house_museums,cultural,museums,interesting_places,history_museums",museum,Q4679495,,41.038780212402344,28.977148056030273,Istiklal / Pera,545.861319,3,,,opentripmap,0,2,Adam Mickiewicz Museum,search,1.0,1,68.0,0.2833333333333333,4.0,240,4.2046450197525564e-05
otm_W109980654,W109980654,Ahi Çelebi Mosque,Ahi Çelebi Mosque,"religion,mosques,interesting_places",religious,Q6957244,,41.01894760131836,28.968408584594727,Eminonu / Spice Bazaar,310.86133448,3,,,opentripmap,0,1,Ahi Çelebi,search,0.6666666666666666,1,839.0,2.3971428571428572,14.0,350,0.0005187789958194699
