poi_id,display_name_en,category_clean,query_area,wiki_title,wiki_match_method,wiki_match_score,wiki_pageviews_total,review_reason,token_overlap,review_decision,corrected_wiki_title,corrected_display_name_en,notes
otm_Q23725,Byzantium,historic,Topkapi Palace,Byzantium,search,1.0,296282.0,abstract_or_non_poi,1.0,,,,
otm_Q337381,Chalcedon,historic,Kadikoy Historic Center,Chalcedon,search,1.0,66662.0,abstract_or_non_poi,1.0,,,,
otm_Q2155032,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,,,,
otm_Q2742323,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,,,,
otm_Q312268,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,,,,
otm_Q767844,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,,,,
otm_Q1750892,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,,,,
otm_Q700886,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,,,,
otm_Q3485862,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,,,,
otm_Q3181408,Siege of Constantinople,historic,Eminonu / Spice Bazaar,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,,,,
otm_Q399482,Siege of Constantinople (674-678),historic,Topkapi Palace,Siege of Constantinople (674–678),search,1.0,56394.0,abstract_or_non_poi,1.0,,,,
otm_Q27900,Siege of Constantinople (717-718),historic,Eminonu / Spice Bazaar,Siege of Constantinople (717–718),search,1.0,71397.0,abstract_or_non_poi,1.0,,,,
otm_Q647228,"Edirnekapı, Istanbul",historic,Balat / Fener,Istanbul,search,0.5,1617259.0,abstract_or_non_poi;generic_wiki_title,0.5,,,,
otm_W32394781,Istanbul City Wall,historic,Eyup / Pierre Loti,Istanbul,search,0.3333333333333333,1617259.0,abstract_or_non_poi;generic_wiki_title,0.333,,,,
otm_W59600891,Istanbul Radio House,attraction,Dolmabahce,Istanbul,search,0.3333333333333333,1617259.0,abstract_or_non_poi;generic_wiki_title,0.333,,,,
otm_N6879165718,15 July coup monument (Istanbul),historic,Beylerbeyi Palace,Timeline of Istanbul,search,0.2,4959.0,abstract_or_non_poi;generic_wiki_title;low_match_score,0.2,,,,
otm_Q956679,Siege of Constantinople (821-823),historic,Eminonu / Spice Bazaar,History of Constantinople,search,0.2,20040.0,abstract_or_non_poi;generic_wiki_title;low_match_score,0.333,,,,
otm_W733808427,Ahmet Çelebi Mosque,religious,Uskudar Waterfront,Ahi Çelebi,search,0.25,839.0,low_match_score,0.25,,,,
otm_W53602038,Haidar Pasha Cemetery,historic,Kadikoy Historic Center,Haydarpaşa Cemetery,search,0.25,2387.0,low_match_score,0.25,,,,
otm_N4988111427,Ruins of Bucoleon Palace,historic,Sultanahmet Core,Boukoleon Palace,search,0.25,25560.0,low_match_score,0.25,,,,
otm_N269479694,Sculpture of Barbarossa,historic,Dolmabahce,Barbarossa (board game),search,0.25,3825.0,low_match_score,0.25,,,,
otm_W110314231,Theotokos Kyriotissa (Kalenderhane),religious,Suleymaniye,Kalenderhane Mosque,search,0.25,5785.0,low_match_score,0.25,,,,
otm_Q85817590,Tomb of Mehmed the Conqueror,historic,Fatih / Valens Aqueduct,Mehmed II,search,0.25,0.0,low_match_score,0.25,,,,
otm_W260976707,Türkiye İş Bankası Museum,museum,Eminonu / Spice Bazaar,İşbank Museum,search,0.25,1000.0,low_match_score,0.25,,,,
otm_R7321116,Yeni Valide Cami,religious,Uskudar Waterfront,"Yeni Mosque, Thessaloniki",search,0.2,4902.0,low_match_score,0.2,,,,
otm_W102190099,Osman Ağa Mosque,religious,Kadikoy Historic Center,Osmanağa Camii,from_url,1.0,0.0,low_token_overlap,0.0,,,,
otm_R7318154,Rumeli Fortress,museum,Rumeli Hisari,Rumelihisarı,from_url,1.0,35767.0,low_token_overlap,0.0,,,,
