poi_id,display_name_en,category_clean,query_area,wiki_title,wiki_match_method,wiki_match_score,wiki_pageviews_total,review_reason,token_overlap,review_decision,corrected_wiki_title,corrected_display_name_en,notes
otm_Q23725,Byzantium,historic,Topkapi Palace,Byzantium,search,1.0,296282.0,abstract_or_non_poi,1.0,drop_wiki,,,"abstract historical settlement, not a practical attraction POI"
otm_Q337381,Chalcedon,historic,Kadikoy Historic Center,Chalcedon,search,1.0,66662.0,abstract_or_non_poi,1.0,drop_wiki,,,"abstract historical settlement, not a practical attraction POI"
otm_Q2155032,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,drop_wiki,,,"historical event / episode, not a practical attraction POI"
otm_Q2742323,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,drop_wiki,,,"historical event / episode, not a practical attraction POI"
otm_Q312268,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,drop_wiki,,,"historical event / episode, not a practical attraction POI"
otm_Q767844,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,drop_wiki,,,"historical event / episode, not a practical attraction POI"
otm_Q1750892,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,drop_wiki,,,"historical event / episode, not a practical attraction POI"
otm_Q700886,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,drop_wiki,,,"historical event / episode, not a practical attraction POI"
otm_Q3485862,Siege of Constantinople,historic,Topkapi Palace,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,drop_wiki,,,"historical event / episode, not a practical attraction POI"
otm_Q3181408,Siege of Constantinople,historic,Eminonu / Spice Bazaar,Siege of Constantinople (860),search,0.6666666666666666,19589.0,abstract_or_non_poi,1.0,drop_wiki,,,"historical event / episode, not a practical attraction POI"
