poi_id_1,name_1,name_en_1,category_1,poi_id_2,name_2,name_en_2,category_2,cluster_id,distance_km,root_overlap_score,same_category,importance_1,importance_2,group_decision,group_type,family_name,entity_name,notes
5112750831,İvaz Efendi Çeşmesi,,historic,1202955220,İvaz Efendi Çeşmesi,,historic,12,8.887099398922954e-05,1.0,1,0.6254668218266779,0.6254667924856728,,,,,
247442912,Masumiyet Müzesi,,museum,3279398393,Masumiyet Müzesi,The Museum of Innocence,museum,12,0.0037996722087939683,1.0,1,0.6940323660602588,0.6940253995863866,,,,,
9909824529,Orhan Kemal Müzesi,,museum,24533505,Orhan Kemal Müzesi,Orhan Kemal Museum,museum,12,0.00680016933252518,1.0,1,0.6535984166006199,0.6498973052235593,,,,,
1203332143,Ebu Şeybe El-Hudri Türbesi,,historic,5112750839,Ebu Şeybe El-Hudri Türbesi,,attraction,12,0.007073114516368798,1.0,0,0.6515714616625723,0.6395749176203515,,,,,
499944905,Atik Ali Paşa Medresesi,,historic,3374681017,Atik Ali Paşa Medresesi,,historic,12,0.008571033948971052,1.0,1,0.6945780725228948,0.6872196114313097,,,,,
1555271,Ayasofya-i Kebir Câmi-i Şerifi,,museum,109862851,Ayasofya-i Kebir Câmi-i Şerifi,Hagia Sophia,attraction,12,0.01245957436528943,1.0,0,0.7681835752931446,0.747139150398643,,,,,
1423624920,Kuşluk,,historic,1423624916,Kuşluk Köşkü,,historic,12,0.029827346719759344,1.0,1,0.6641942621195024,0.6606261921843108,,,,,
225470917,I. Hareket Köşkü,,historic,225470899,II. Hareket Köşkü,,historic,12,0.0307892432137915,1.0,1,0.6638234896402336,0.6563807937639404,,,,,
530624261,Yavuz Sultan Selim Türbesi,Tomb of Selim the Resolute,historic,7328115,Yavuz Sultan Selim Cami,Yavuz Sultan Selim Mosque,attraction,12,0.04930633787065335,1.0,0,0.6538401204602468,0.6303418663328798,,,,,
2472730735,Binbirdirek Sarnıcı,Cistern of Philoxenos,museum,214800348,Binbirdirek Sarnıcı,,park,12,0.05719111435040997,1.0,0,0.8041686522513595,0.6729314186689355,,,,,
1184924695,Yerebatan Sarnıcı,,historic,11006008339,Yerebatan Sarnıcı,Basilica Cistern (Exit),attraction,12,0.07536144586649109,1.0,0,0.7850238528242527,0.7695882352941177,,,,,
4297527,Rahmi M. Koç Müzesi,,museum,988346544,Rahmi M. Koç Müzesi,,museum,12,0.08284569502773068,1.0,1,0.6426252988267107,0.6392287794820162,,,,,
110017005,İstanbul Üniversitesi Kapı Köşkü,,historic,110016988,İstanbul Üniversitesi Kapı Köşkü,,historic,12,0.09379751937870837,1.0,1,0.6339974378474112,0.6263409450360584,,,,,
103953128,Sultan Ahmet Medresesi,Sultan Ahmed Madrasah,historic,25428553,Sultan Ahmet Parkı,,park,12,0.10384263526663345,1.0,0,0.7956527541776205,0.6814618235586957,,,,,
103953125,Sultan Ahmet Türbesi,Tomb of Sultan Ahmed I,attraction,25428553,Sultan Ahmet Parkı,,park,12,0.10626221955647047,1.0,0,0.8358979261397337,0.6814618235586957,,,,,
13357454623,Nimelceyş Kabiri,,historic,13357454626,Nimelceyş Kabiri,,historic,12,0.11191800772869878,1.0,1,0.6734037956995331,0.636299107220153,,,,,
708327981,Galata citywalls,,historic,708327982,Galata Surları,Galata Citywalls,historic,12,0.14399774237613971,1.0,1,0.6347668799982107,0.6202265386126733,,,,,
708327982,Galata Surları,Galata Citywalls,historic,708327979,Galata Citywalls,,historic,12,0.25371256707680007,1.0,1,0.6202265386126733,0.6159263910230991,,,,,
32396432,III. Ahmet Çeşmesi,Sultan Ahmed III Fountain,attraction,25428553,Sultan Ahmet Parkı,,park,12,0.287510958707996,1.0,0,0.7283870411993926,0.6814618235586957,,,,,
1272160893,Gülhane Kapısı,,historic,25542618,Gülhane Parkı,Gülhane Park,park,12,0.2918144696458823,1.0,0,0.6828882476466029,0.6170657287097114,,,,,
1395835665,Haseki Hafsa Sultan Türbesi,,historic,530624260,Ayşe Hafsa Sultan Türbesi,,historic,12,0.015599329315031413,0.75,1,0.6465353558167705,0.6465040075778425,,,,,
3374678648,Kara Mustafa Paşa Külliyesi,,historic,5244807882,Merzifonlu Kara Mustafa Paşa Medresesi,,attraction,12,0.01570975859246699,0.75,0,0.6718308526207518,0.6635622935449846,,,,,
103953125,Sultan Ahmet Türbesi,Tomb of Sultan Ahmed I,attraction,103953128,Sultan Ahmet Medresesi,Sultan Ahmed Madrasah,historic,12,0.03258117624703163,0.75,0,0.8358979261397337,0.7956527541776205,,,,,
109836395,Sultan III. Murad Türbesi,Mausoleum of Sultan Murad III,historic,109836394,Sultan III. Mehmet Türbesi,Mausoleum of Sultan Mehmed III,historic,12,0.04081218130525191,0.75,1,0.8041543523982415,0.8003294918903925,,,,,
111002508,Gazi Atik Ali Paşa Camii,,historic,3374681017,Atik Ali Paşa Medresesi,,historic,12,0.060151074111960925,0.75,1,0.715883033994211,0.6872196114313097,,,,,
111002508,Gazi Atik Ali Paşa Camii,,historic,499944905,Atik Ali Paşa Medresesi,,historic,12,0.06479735702998955,0.75,1,0.715883033994211,0.6945780725228948,,,,,
335374188,İstanbul Arkeoloji Müzeleri,,museum,319020883,İstanbul Arkeoloji Müzesi,Istanbul Archaeological Museum,museum,12,0.014518422625775552,0.6666666666666666,1,0.7934602030966318,0.7934516853177431,,,,,
109836395,Sultan III. Murad Türbesi,Mausoleum of Sultan Murad III,historic,709381141,Sultan II. Selim Türbesi,Mausoleum of Sultan Selim II,historic,12,0.022560231829305125,0.6666666666666666,1,0.8041543523982415,0.8004027259690221,,,,,
709381141,Sultan II. Selim Türbesi,Mausoleum of Sultan Selim II,historic,109836394,Sultan III. Mehmet Türbesi,Mausoleum of Sultan Mehmed III,historic,12,0.022926453698379597,0.6666666666666666,1,0.8004027259690221,0.8003294918903925,,,,,
175519814,Sokullu Mehmet Paşa Türbesi,,historic,175519815,Siyavuş Paşa Türbesi,,historic,17,0.03267702822510097,0.6666666666666666,1,0.6219970013392484,0.6219215373760532,,,,,
263956600,Dolmabahçe Sarayı Hazine-i Hassa Dairesi,,historic,1423624915,Dolmabahçe Sarayı Hazine Kapısı,,historic,12,0.03342352724811575,0.6666666666666666,1,0.7035369557659662,0.6998066330798159,,,,,
165574764,Kılıç Ali Paşa Türbesi,,historic,165574748,Kılıç Ali Paşa Camii,Kılıç Ali Pasha Mosque,attraction,12,0.03683020050143763,0.6666666666666666,0,0.6464136351281462,0.6290306746836557,,,,,
13615790287,Lausos Sarayı'nın Kalıntıları,,historic,1075801479,Antiochos Sarayı'nın Kalıntıları,,historic,12,0.03803391584053909,0.6666666666666666,1,0.8630041366163068,0.8592239579009757,,,,,
1197779763,Sirkeci Dede Türbesi,,historic,1197780727,Aya Dede Türbesi,,historic,12,0.03974066104814213,0.6666666666666666,1,0.6470649304645547,0.647005738310853,,,,,
103907772,Dîvân-ı Hümâyûn,Imperial Council Hall,historic,4743322,Harem-i Hümayûn,Imperial Harem,historic,12,0.06746720532502738,0.6666666666666666,1,0.7242256908054279,0.720411605205976,,,,,
175519815,Siyavuş Paşa Türbesi,,historic,329233495,Pertev Paşa Türbesi,,historic,17,0.0678090054540018,0.6666666666666666,1,0.6219215373760532,0.618051172398595,,,,,
175519814,Sokullu Mehmet Paşa Türbesi,,historic,329233152,Mehmet Ağa Türbesi,,historic,17,0.07298410272181295,0.6666666666666666,1,0.6219970013392484,0.6181491432092946,,,,,
1120852417,Theodosius Dikilitaşı,Obelisk of Theodosius,historic,1120852418,Örme Dikilitaş,The Walled Obelisk,historic,12,0.07460489401725402,0.6666666666666666,1,0.787757479192329,0.7727815775079241,,,,,
103953125,Sultan Ahmet Türbesi,Tomb of Sultan Ahmed I,attraction,25512790,Sultanahmet Meydanı,Sultan Ahmed Square,attraction,12,0.08377359037514538,0.6666666666666666,1,0.8358979261397337,0.7760674446106873,,,,,
103953128,Sultan Ahmet Medresesi,Sultan Ahmed Madrasah,historic,25512790,Sultanahmet Meydanı,Sultan Ahmed Square,attraction,12,0.09837556694767696,0.6666666666666666,0,0.7956527541776205,0.7760674446106873,,,,,
175519814,Sokullu Mehmet Paşa Türbesi,,historic,329233495,Pertev Paşa Türbesi,,historic,17,0.09999605663721318,0.6666666666666666,1,0.6219970013392484,0.618051172398595,,,,,
1271934199,Dolmabahçe Sarayı Saltanat Kapı,,historic,1423624915,Dolmabahçe Sarayı Hazine Kapısı,,historic,12,0.15831786911068996,0.6666666666666666,1,0.7286787517548909,0.6998066330798159,,,,,
8120955,İbrahim Paşa Sarayı,Ibrahim Pasha Palace,historic,527580309,Keçecizâde Fuad Paşa Türbesi,Turbe of Keçecizâde Fuad Pasha,historic,12,0.16590841786056132,0.6666666666666666,1,0.8589147224356382,0.8210574583077491,,,,,
1271934199,Dolmabahçe Sarayı Saltanat Kapı,,historic,13084855510,Dolmabahçe Sarayı Deniz Kapısı,,historic,12,0.19336394031959137,0.6666666666666666,1,0.7286787517548909,0.7284865118906544,,,,,
151790453,Haseki Hürrem Hamamı,Haseki Hürrem Hammam,attraction,330344403,İshakpaşa Hamamı,İshakpaşa Hammam,historic,12,0.2012997814907533,0.6666666666666666,0,0.7581456549893157,0.710768405013746,,,,,
1620494633,Hatice Turhan Sultan Türbesi,Tomb of Hatice Turhan Sultan,historic,333112194,Sultan 1. Abdülhamit Türbesi,,historic,12,0.20230800284694211,0.6666666666666666,1,0.6867309156333706,0.6762663213923491,,,,,
