model,feature,importance
Random Forest,temp_min,0.3101786936708752
Random Forest,temp_avg,0.2917316464336371
Random Forest,trend_demand,0.22637959501085245
Random Forest,temp_max,0.138599842453395
Random Forest,precipitation,0.022280863752284705
Random Forest,week_of_year,0.004109325545679045
Random Forest,weekofyear,0.003371421785864977
Random Forest,month,0.00121644291087675
Random Forest,season_spring,0.0007416489168832323
Random Forest,season_summer,0.0006285057625749867
Random Forest,is_holiday,0.00041268488220686157
Random Forest,season_winter,0.0003493288748695775
