poi_id,name,name_en,match_name,wiki_title,wiki_overlap_score,wiki_query_used,wiki_match_type,wiki_match_quality,review_notes
8120955,İbrahim Paşa Sarayı,Ibrahim Pasha Palace,Ibrahim Pasha Palace,Pargalı Ibrahim Pasha,1.0,Ibrahim Pasha Palace,,,
1153966162,Büyük Saray Mozaikleri Müzesi,Great Palace Mosaic Museum,Great Palace Mosaic Museum,Great Palace Mosaic Museum,1.0,Great Palace Mosaic Museum,,,
103953125,Sultan Ahmet Türbesi,Tomb of Sultan Ahmed I,Tomb of Sultan Ahmed I,Ahmed III,0.5,Tomb of Sultan Ahmed I,,,
11867279469,Ayasofya Tarih ve Deneyim Müzesi,Hagia Sophia History and Experience Museum,Hagia Sophia History and Experience Museum,Hagia Sophia,0.5,Hagia Sophia History and Experience Museum,,,
5113500256,Türk ve İslam Eserleri Müzesi,Turkish and Islamic Arts Museum,Turkish and Islamic Arts Museum,Turkish and Islamic Arts Museum,1.0,Turkish and Islamic Arts Museum,,,
3373094254,Halı Müzesi,Carpet Museum,Carpet Museum,Museum of Carpet,1.0,Carpet Museum,,,
18055570,Sultanahmet Camii,Blue Mosque,Blue Mosque,Blue Mosque,1.0,Blue Mosque,,,
132277807,Şehzadeler Türbesi,Mausoleum of Princes,Mausoleum of Princes,Mausoleum of Safavid Princes,1.0,Mausoleum of Princes,,,
2472730735,Binbirdirek Sarnıcı,Cistern of Philoxenos,Cistern of Philoxenos,Cistern of Philoxenos,1.0,Cistern of Philoxenos,,,
109836395,Sultan III. Murad Türbesi,Mausoleum of Sultan Murad III,Mausoleum of Sultan Murad III,Murad III,0.5,Mausoleum of Sultan Murad III,,,
4990028128,Halı Müzesi,Carpet Museum,Carpet Museum,Museum of Carpet,1.0,Carpet Museum,,,
109836394,Sultan III. Mehmet Türbesi,Mausoleum of Sultan Mehmed III,Mausoleum of Sultan Mehmed III,Mehmed III,0.5,Mausoleum of Sultan Mehmed III,,,
4742554,Aya İrini Kilisesi,Hagia Irene,Hagia Irene,Hagia Irene,1.0,Hagia Irene,,,
1908677124,Milyon Taşı,Milion,Milion,Milion,1.0,Milion,,,
5244807623,Türkiye Gazeteciler Cemiyeti Basın Müzesi,TGC Press Media Museum,TGC Press Media Museum,TGC Press Media Museum,1.0,TGC Press Media Museum,,,
109874498,Alman Çeşmesi,German Fountain,German Fountain,German Fountain,1.0,German Fountain,,,
103339340,Eski Şark Eserleri Müzesi,Museum Of Ancient Orient,Museum Of Ancient Orient,Museum of the Ancient Orient,1.0,Museum Of Ancient Orient,,,
1120852417,Theodosius Dikilitaşı,Obelisk of Theodosius,Obelisk of Theodosius,Obelisk of Theodosius,1.0,Obelisk of Theodosius,,,
1154702450,Şerefiye Sarnıcı,Theodosia Cistern,Theodosia Cistern,Cistern of Aspar,0.5,Theodosia Cistern,,,
1379168992,Katip Sinan Camii,,Katip Sinan Camii,Katip Sinan Qelebi Mosque,1.0,Katip Sinan Camii,,,
25512790,Sultanahmet Meydanı,Sultan Ahmed Square,Sultan Ahmed Square,Sultan Ahmed,1.0,Sultan Ahmed Square,,,
1272157516,SARNIÇ CISTERN,,SARNIÇ CISTERN,Cistern of Pulcheria,0.5,SARNIÇ CISTERN,,,
1120852418,Örme Dikilitaş,The Walled Obelisk,The Walled Obelisk,Walled Obelisk,1.0,The Walled Obelisk,,,
415157636,Yılanlı Sütun,Serpent Column,Serpent Column,Serpent Column,1.0,Serpent Column,,,
1555271,Ayasofya-i Kebir Câmi-i Şerifi,,Ayasofya-i Kebir Câmi-i Şerifi,Ayasofya Mosque,0.6,ayasofya,,,
