poi_id,name,category,lat,lon
269497288,Barbaros Hayrettin Türbesi,historic:memorial,41.0419227,29.0068359
269709058,Kanburun Bahçesi,tourism:attraction,41.042587,29.0038953
288789401,Erbilgin Yalısı,tourism:attraction,41.1189172,29.0684191
288789412,Besteci Faik Canselen'in Evi,tourism:attraction,41.1188112,29.0641646
415157636,Yılanlı Sütun,tourism:attraction,41.0056649,28.9751101
554083364,Sabancı Üniversitesi Sakıp Sabancı Müzesi,tourism:museum,41.106019,29.0556289
663391267,Çemberlitaş Hamamı,tourism:attraction,41.0085416,28.9716244
1026149714,Millî Egemenlik Parkı,leisure:park,41.0002134,28.8517727
1026149721,Siyavuşpaşa Kasrı,tourism:museum,41.0005858,28.8514348
1035582478,Unknown,historic:city_gate,40.9998226,28.9205403
1037084486,Havacılık Müzesi,tourism:museum,40.9641579,28.8262655
1346157990,Askerî Müze,tourism:museum,41.0488755,28.9882427
1352425761,Miniatürk Açıkhava Müzesi,tourism:museum,41.059005,28.9490675
1426032250,BJK 100 Yıl Kartal Heykeli,historic:monument,41.0435474,29.0041967
1620494633,Hatice Turhan Sultan Türbesi,historic:monument,41.0162025,28.9719047
1652694014,Magnaura Sarayı,historic:ruins,41.0054477,28.9796589
1770612643,Osmanlı Bankası Müzesi,tourism:museum,41.0238356,28.9736169
1807703751,Istanbul Photography Museum,tourism:museum,41.0046397,28.967754
1900616737,Ancient Hippodrome Substructure,historic:archaeological_site,41.00408,28.9733493
1908677124,Milyon Taşı,historic:monument,41.0080674,28.9780181
2201713283,Garipçe Kalesi,tourism:viewpoint,41.2140768,29.1106021
2201717708,Pompeus Sütunu / Roke Kayalıkları,historic:ruins,41.23394,29.1157573
2201720559,Rumeli Kavağı Tabyaları,historic:castle,41.1820279,29.0746658
2278535412,Ancient Roman Ruins,historic:ruins,41.0010689,28.6905849
2282062752,Büyükçekmece Kervansaray (Kurşunlu Han),historic:monument,41.0219982,28.5757305
2329194003,Cumhuriyet Anıtı,historic:memorial,41.0369723,28.9851248
2436912685,Sadun Oda Boro Heykeli,historic:memorial,40.9766053,29.0411538
2436912720,Unknown,historic:memorial,40.9694217,29.0374491
2437539073,Lefter Küçükandonyadis Heykeli,historic:memorial,40.9864334,29.0339763
2437773517,Yunus Emre Heykeli,historic:memorial,40.9852779,29.0336422
2437773604,Süreyya İlmen Heykeli,historic:memorial,40.9869314,29.0337289
2446138465,Atatürk Anıtı,historic:memorial,40.980354,29.0239767
2446513068,Osmanlı Hamam Kalıntısı,historic:ruins,40.987487,29.028564
2450994883,Atatürk Anıtı,historic:memorial,40.9812845,29.0211319
2454858578,Alex de Souza Heykeli,historic:memorial,40.9875075,29.0338605
2454972018,2. Abdülhamit Anıtı,historic:memorial,41.0017691,29.0071158
2457038208,Fazıl Hüsnü Dağlarca Heykeli,historic:memorial,40.9790323,29.0397211
2457038212,Osman Hamdi Bey Heykeli,historic:memorial,40.9800644,29.0387997
2458877600,Unknown,historic:memorial,41.0053889,29.0167112
2459760384,Aslı Nemutlu Heykeli,historic:memorial,40.9796099,29.0392155
2472730735,Binbirdirek Sarnıcı,tourism:museum,41.007606,28.9744173
2517658756,St. George's Anglikan Kilisesi,historic:ruins,41.1909401,28.9623135
2532890476,Vecihi Hürkuş Heykeli,historic:memorial,40.9843724,29.0392821
2575834483,Filiboz Antik Bizans kasabası,historic:monument,41.1261093,28.7018667
2585168071,Devlet baba türbesi,historic:tomb,41.1540243,28.6757334
2832656982,Atatürk Anıtı,historic:monument,41.2464998,29.0369322
2852238747,Atatürk Heykeli,historic:monument,40.9597526,29.190948
2852239163,Seyit Onbaşı Heykeli,historic:monument,40.959791,29.1918835
2892392880,Boğa Heykeli,historic:memorial,40.9904912,29.0292074
3137358326,Yeniköy Doğayı Koruma Derneği Bahçesi,leisure:park,41.1226588,29.0617394
3195027800,Fransız Kültür Merkezi,tourism:museum,41.0362806,28.9841655
3220979738,Manifaturaci Draper,historic:memorial,41.0148075,28.9710909
3236233297,Kıztaşı,historic:memorial,41.0154411,28.9502846
3254365422,Atatürk,historic:memorial,41.0150527,28.9768215
3254396169,Yıldız Seramik Fabrikası,tourism:museum,41.0482849,29.0188194
3254460380,Fatih Anıtı,historic:memorial,41.0155727,28.9542189
3254460381,Hava Şehitleri Anıtı,historic:memorial,41.0160748,28.9526349
3254468506,Adam Mickiewicz Müzesi,tourism:museum,41.0387821,28.9771474
3279345565,Hamal,historic:memorial,41.0144875,28.9729077
3279398393,Masumiyet Müzesi,tourism:museum,41.0308716,28.9797952
3281285898,Atatürk,historic:memorial,41.0044513,28.9733107
3281285899,Mithat Paşa,historic:memorial,41.0042194,28.9733768
3373094254,Halı Müzesi,tourism:museum,41.0056817,28.9786693
3374678647,Koca Sinan Paşa Külliyesi,historic:monument,41.0088088,28.9690637
3374678648,Kara Mustafa Paşa Külliyesi,historic:monument,41.0087157,28.9677599
3374681017,Atik Ali Paşa Medresesi,historic:monument,41.0084081,28.9699808
3383039241,Bayram Paşa Külliyesi,historic:monument,41.0087737,28.9423415
3384627300,Unknown,historic:monument,40.9961969,28.9285033
3386270532,Galatasaray Müzesi,tourism:museum,41.0334816,28.9769398
3400112453,Yedi Kule Hisarı Müzesi,tourism:museum,40.9935689,28.9239308
3473367184,Sevda Tepesi,historic:memorial,41.075268,29.0653173
3473447794,Otağtepe Parkı,leisure:park,41.088684,29.077145
3580821812,Muzeum Adama Mickiewicza,tourism:museum,41.0387821,28.9771474
3709006362,Dogan Kuloğlu Parkı,leisure:park,40.9950779,28.8400371
3811143694,Kartonpiyer Müzesi,tourism:museum,41.029581,28.9789875
3834100190,Unknown,leisure:park,41.1046655,29.1115713
3842144057,Süvari Birliği Nalbanthanesi,historic:fort,41.1085896,29.0106977
4031869601,Panorama Zafer Müzesi,tourism:museum,41.0607508,28.947846
4042738985,Unknown,leisure:park,41.0595294,28.956771
4042738986,Unknown,leisure:park,41.0587845,28.9550651
4057360456,Ahmet Adnan Saygun Heykeli,tourism:artwork,41.0685915,29.0299016
4057395316,Unknown,leisure:park,41.0011604,28.5975942
4124679395,Akatlar Kültür Merkezi,tourism:attraction,41.0804147,29.0276006
4291463827,Kestane Parkı,leisure:park,41.0357342,28.8498206
4303108295,Atatürk Anıtı,historic:monument,41.0374102,28.8831962
4330819713,Atatürk,historic:monument,40.9922809,28.8453447
4363666187,Zindan baba Türbesi,historic:tomb,41.0187867,28.9691768
4390357493,Veliefendi Hipodrumu,tourism:attraction,40.98816,28.88538
4395594091,Rüzgar Değirmeni,tourism:attraction,40.8829671,29.0892565
4407682390,Unknown,historic:monument,41.4037308,28.3841582
4419134189,Unknown,leisure:park,41.1090408,29.0482906
4477143891,Yıldız Sarayı,tourism:attraction,41.0507108,29.0117042
4481332089,Alibeyköy Mısır Heykeli,historic:monument,41.0748485,28.9467619
4494301289,Unknown,tourism:attraction,41.0140264,28.9688121
4497308690,Unknown,historic:fountain,41.0609125,29.035254
4504321792,Tombili Heykeli,historic:memorial,40.9889806,29.0418274
4506783904,Kanuni Sultan Suleyman 1 Turbesi,historic:memorial,41.0156999,28.9644663
4506862293,Hurrem Haseki (Roksolana) Turbesi,historic:memorial,41.0156683,28.9648085
4509007790,Unknown,historic:memorial,41.0189329,28.9505004
4509011791,Unknown,historic:memorial,41.0188441,28.9508151
4511219615,Molla Gurani Turbesi,tourism:attraction,41.0110693,28.9418324
4511416267,Barış Manço & Arkadaşım Eşşek,leisure:park,40.9950715,28.5379999
4512813092,Unknown,tourism:attraction,41.0255746,28.950133
4512830990,Unknown,tourism:attraction,41.0262595,28.9516034
4512851490,Unknown,tourism:attraction,41.0261959,28.9515028
4512851689,Unknown,tourism:attraction,41.0263138,28.9516885
4516764892,Unknown,tourism:attraction,41.0093307,28.9716088
4516765191,Unknown,tourism:museum,41.0085148,28.9677376
4526947090,Unknown,historic:memorial,41.0322806,28.9767927
4528008760,7 den 77 ye Barış Parkı,leisure:park,40.9948031,28.5377524
4549090632,Atatürk Heykeli,historic:monument,41.0482025,29.2399897
4567527928,Kartallı Kazım Anıtı,historic:memorial,40.8962861,29.185872
4580125160,Saat Kulesi,historic:monument,40.8741241,29.1286022
4581125209,Unknown,leisure:park,40.8673082,29.1300611
4583947689,Unknown,tourism:attraction,41.0485207,28.9925545
4591595605,cuma pazar,tourism:attraction,41.0113817,28.9408685
4651286997,Kuzguncuk Gazhanesi,historic:ruins,41.035972,29.0350237
4677976089,Unknown,historic:memorial,41.2342858,29.1124506
4695996389,Gotlar Sütunu,tourism:attraction,41.0146409,28.9856774
4721808990,Kapali Carsi,tourism:museum,41.0101095,28.969963
4731261022,Aya Nikola Rum Ortodoks Kilisesi,tourism:attraction,41.1206302,29.0684655
4731587222,Unknown,historic:monument,41.0950452,28.9839317
4736022622,Surp Hıripsimyans Ermeni Apostok Kilisesi,tourism:attraction,41.159388,29.0396946
4778529769,Unknown,historic:monument,41.0333314,28.9771512
4788130621,Hz Yuşa Cami,tourism:attraction,41.162287,29.08463
4792495521,Ulubatlı Hasan Parkı,leisure:park,41.001402,28.8554355
4810740995,Unknown,tourism:attraction,41.0718288,28.2429906
4810740996,Unknown,tourism:attraction,41.0722009,28.243122
4814741923,Gezi Parkı Fıskiye,tourism:attraction,41.0389482,28.9869652
4816001723,Atatürk Büstü,historic:memorial,40.9849088,29.0338966
4831172762,ATATÜRK Heykeli,historic:memorial,40.9656268,29.2673074
4846342321,Ali Suavi Anıtı,historic:memorial,40.9896047,29.0290813
4868553761,Unknown,tourism:museum,41.0413327,28.9600568
4869917588,Unknown,leisure:park,41.0773538,28.9786347
4869917589,Unknown,leisure:park,41.0751874,28.9868333
4889905029,Unknown,historic:memorial,41.028387,28.9770801
4889905032,SALT Galata,tourism:museum,41.0238724,28.9734736
4889905033,Bükücüler Han,historic:monument,41.0096327,29.0143802
4889958232,Borusan Sanat,tourism:museum,41.0303466,28.9754498
4889958234,ISTANBUL'74,tourism:museum,41.0332891,28.9795904
4889959130,Bomontiada,tourism:attraction,41.0583185,28.9808053
4889959132,Hasan Paşa Kulesi,historic:castle,41.2136997,29.107452
4889959134,Selimiye Hamami,tourism:attraction,41.0103358,29.0166858
4889959431,ARTER,tourism:museum,41.0304385,28.9757547
4889959432,AK Bank Sanat Galerisi,tourism:museum,41.0359382,28.9831097
4889959434,Dogançay Müzesi,tourism:museum,41.0357703,28.9783705
4889959435,Türvak Türker Inanoglu Vakfi,tourism:museum,41.0326418,28.9777224
4895209121,Laleli,tourism:attraction,41.0086939,28.9557286
4903546222,Unknown,historic:tomb,41.0230576,28.9259875
4920628724,Terrace Fulya,tourism:attraction,41.0074547,29.0435884
4966376521,Turkuazoo,tourism:attraction,41.0455958,28.896211
4977947521,Ayios Polieuktos Kilisesi,historic:ruins,41.0142319,28.9529591
4990028128,Halı Müzesi,tourism:museum,41.0087318,28.9809561
5001163522,M.K. Atatürk & Salvador Allende,historic:monument,40.9904492,29.1259111
5052980822,فندقنا,tourism:attraction,41.0341556,28.9839572
5076114611,Altinkapi,tourism:attraction,40.9919043,28.9220657
5076115936,Imrahor ilyasbey mezarlığı,historic:cemetery,40.9962681,28.9281396
5076598021,Unknown,tourism:attraction,41.0278981,28.9717974
5081442505,Şeyh Ahmet Buhara Türbesi,historic:tomb,41.0231601,28.9602598
5081442512,Rezan Has Museum,tourism:museum,41.0252799,28.9584325
5081445115,Seyyit Velayet Türbesi,historic:tomb,41.0238481,28.954732
5081610966,Panayia Belgradu Kilisesi,historic:church,41.0001135,28.9219792
5103810789,Hamidiye Kültür Ve Eğitim Vakfı Topkapı Nusret,tourism:museum,41.0196249,28.9277844
5108806124,Unknown,historic:memorial,41.0079266,28.9752446
5108828006,Lions Rug and kilims Art Gallery,tourism:museum,41.0128714,28.9778917
5108828672,II. Abdülhamit Çeşmesi,tourism:attraction,41.0147801,28.9790412
5108828680,İstanbul Demiryolu Müzesi,tourism:museum,41.0151986,28.9766826
5108836360,Sultan Spa and Wellness Center,tourism:attraction,41.0123762,28.977568
5108837436,Hodjapasta,tourism:museum,41.0142713,28.9756894
5108837438,Tasciri Spettacolo,tourism:museum,41.0140444,28.9756133
5108838368,Paşa Kapısı,tourism:attraction,41.0111434,28.9779823
5108843098,Cevri Kalfa Çeşmesi,tourism:attraction,41.0080019,28.9767691
5108843109,Hacı Beşir Ağa Çeşmesi,tourism:attraction,41.0082703,28.977987
5110342142,Molla Hüsrev cami Turbası,historic:tomb,41.0147778,28.959381
5112723898,Hacı Beşir Ağa Çeşmesi,tourism:attraction,41.0036705,28.9287438
5112732265,Beyazıt Türk Hamam Kültürü Müzesi,tourism:museum,41.0099458,28.9615545
5112749760,Abdullah El Ensari Türbesi,tourism:attraction,41.0332977,28.944349
5112750009,Ebuzer Gifari Türbesi,historic:tomb,41.0376062,28.9428599
5112750831,İvaz Efendi Çeşmesi,historic:yes,41.0378888,28.9411463
5112750839,Ebu Şeybe El-Hudri Türbesi,tourism:attraction,41.039341,28.9414828
5113470953,Kalburcu Mehmet Parki,leisure:park,41.0174102,28.9260313
5113470962,Kırımlı park,leisure:park,41.0165711,28.9243198
5113500256,Türk ve İslam Eserleri Müzesi,tourism:museum,41.0062801,28.974915
5113592202,Molla Gorani Hazretlerinin Kabri,historic:tomb,41.0112305,28.9411363
5113620677,Sahabe-i Kiramdan Abdurrahman Şami Türbesi,historic:tomb,41.0066904,28.9791454
5113620695,İslam bilim ve teknoloji tarihi müzesi,tourism:museum,41.0132188,28.9789678
5115933169,Tarihi Hacı Kadın Hamamı,tourism:attraction,40.9997863,28.9274893
5115935414,Şeyh Seyyid Seyfullah Hz.,historic:tomb,41.0071684,28.9269866
5115939964,Türk Vakıf Hat Sanatları Müzesi,tourism:museum,41.01005,28.9631808
5117020686,Unknown,historic:memorial,41.0577239,28.9497471
5181982721,Dumankaya Adres Lobi,tourism:attraction,40.8623461,29.3343936
